"nom_cabina","qualitat_aire","codi_dtes","zqa","codi_eoi","longitud","latitud","hora_o3","qualitat_o3","valor_o3","hora_no2","qualitat_no2","valor_no2","hora_pm10","qualitat_pm10","valor_pm10","generat","dateTime"
"Barcelona - Sants","--","ID","01","08019042",2.1331,41.3788,NA,NA,NA,"7h","--","--",NA,NA,NA,"11/06/2018 9:00",1528700703
"Barcelona - Eixample","Bona","IH","01","08019043",2.1538,41.3853,"8h","Bona","37 µg/m³","8h","Bona","62 µg/m³","9h","Bona","26 µg/m³","11/06/2018 9:00",1528700703
"Barcelona - Gràcia","Bona","IJ","01","08019044",2.1534,41.3987,"8h","Bona","51 µg/m³","8h","Bona","44 µg/m³","9h","Bona","23 µg/m³","11/06/2018 9:00",1528700703
"Barcelona - Ciutadella","Bona","IL","01","08019050",2.1874,41.3864,"8h","Bona","27 µg/m³","8h","Bona","40 µg/m³",NA,NA,NA,"11/06/2018 9:00",1528700703
"Barcelona - Vall Hebron","Bona","IN","01","08019054",2.148,41.4261,"8h","Bona","22 µg/m³","8h","Bona","54 µg/m³","9h","Bona","18 µg/m³","11/06/2018 9:00",1528700703
"Barcelona - Palau Reial","Bona","IZ","01","08019057",2.1151,41.3875,"8h","Bona","22 µg/m³","8h","Bona","61 µg/m³","9h","Bona","20 µg/m³","11/06/2018 9:00",1528700703
"Barcelona - Poblenou","Bona","I2","01","08019004",2.2045,41.4039,NA,NA,NA,"8h","Bona","65 µg/m³","9h","Bona","21 µg/m³","11/06/2018 9:00",1528700703
"Barcelona - Sants","Bona","ID","01","08019042",2.1331,41.3788,NA,NA,NA,"10h","Bona","34 µg/m³",NA,NA,NA,"11/06/2018 10:00",1528704305
"Barcelona - Eixample","Bona","IH","01","08019043",2.1538,41.3853,"10h","Bona","36 µg/m³","10h","Bona","60 µg/m³","10h","Bona","27 µg/m³","11/06/2018 10:00",1528704305
"Barcelona - Gràcia","Bona","IJ","01","08019044",2.1534,41.3987,"10h","Bona","50 µg/m³","10h","Bona","38 µg/m³","10h","Bona","23 µg/m³","11/06/2018 10:00",1528704305
"Barcelona - Ciutadella","Bona","IL","01","08019050",2.1874,41.3864,"10h","Bona","54 µg/m³","10h","Bona","38 µg/m³",NA,NA,NA,"11/06/2018 10:00",1528704305
"Barcelona - Vall Hebron","Bona","IN","01","08019054",2.148,41.4261,"10h","Bona","54 µg/m³","10h","Bona","24 µg/m³","10h","Bona","19 µg/m³","11/06/2018 10:00",1528704305
"Barcelona - Palau Reial","Bona","IZ","01","08019057",2.1151,41.3875,"10h","Bona","55 µg/m³","10h","Bona","27 µg/m³","10h","Bona","21 µg/m³","11/06/2018 10:00",1528704305
"Barcelona - Poblenou","Bona","I2","01","08019004",2.2045,41.4039,NA,NA,NA,"10h","Bona","47 µg/m³","10h","Bona","22 µg/m³","11/06/2018 10:00",1528704305
"Barcelona - Sants","Bona","ID","01","08019042",2.1331,41.3788,NA,NA,NA,"11h","Bona","25 µg/m³",NA,NA,NA,"11/06/2018 11:00",1528707902
"Barcelona - Eixample","Bona","IH","01","08019043",2.1538,41.3853,"10h","Bona","36 µg/m³","10h","Bona","60 µg/m³","11h","Bona","27 µg/m³","11/06/2018 11:00",1528707902
"Barcelona - Gràcia","Bona","IJ","01","08019044",2.1534,41.3987,"10h","Bona","50 µg/m³","10h","Bona","38 µg/m³","11h","Bona","23 µg/m³","11/06/2018 11:00",1528707902
"Barcelona - Ciutadella","Bona","IL","01","08019050",2.1874,41.3864,"10h","Bona","54 µg/m³","10h","Bona","38 µg/m³",NA,NA,NA,"11/06/2018 11:00",1528707902
"Barcelona - Vall Hebron","Bona","IN","01","08019054",2.148,41.4261,"10h","Bona","54 µg/m³","10h","Bona","24 µg/m³","11h","Bona","20 µg/m³","11/06/2018 11:00",1528707902
"Barcelona - Palau Reial","Bona","IZ","01","08019057",2.1151,41.3875,"10h","Bona","55 µg/m³","10h","Bona","27 µg/m³","11h","Bona","21 µg/m³","11/06/2018 11:00",1528707902
"Barcelona - Poblenou","Bona","I2","01","08019004",2.2045,41.4039,NA,NA,NA,"10h","Bona","47 µg/m³","11h","Bona","22 µg/m³","11/06/2018 11:00",1528707902
"Barcelona - Sants","Bona","ID","01","08019042",2.1331,41.3788,NA,NA,NA,"11h","Bona","25 µg/m³",NA,NA,NA,"11/06/2018 12:00",1528711504
"Barcelona - Eixample","Bona","IH","01","08019043",2.1538,41.3853,"10h","Bona","36 µg/m³","10h","Bona","60 µg/m³","12h","Bona","26 µg/m³","11/06/2018 12:00",1528711504
"Barcelona - Gràcia","Bona","IJ","01","08019044",2.1534,41.3987,"10h","Bona","50 µg/m³","10h","Bona","38 µg/m³","12h","Bona","23 µg/m³","11/06/2018 12:00",1528711504
"Barcelona - Ciutadella","Bona","IL","01","08019050",2.1874,41.3864,"10h","Bona","54 µg/m³","10h","Bona","38 µg/m³",NA,NA,NA,"11/06/2018 12:00",1528711504
"Barcelona - Vall Hebron","Bona","IN","01","08019054",2.148,41.4261,"11h","Bona","64 µg/m³","11h","Bona","15 µg/m³","12h","Bona","20 µg/m³","11/06/2018 12:00",1528711504
"Barcelona - Palau Reial","Bona","IZ","01","08019057",2.1151,41.3875,"11h","Bona","59 µg/m³","11h","Bona","24 µg/m³","12h","Bona","21 µg/m³","11/06/2018 12:00",1528711504
"Barcelona - Poblenou","Bona","I2","01","08019004",2.2045,41.4039,NA,NA,NA,"11h","Bona","32 µg/m³","12h","Bona","22 µg/m³","11/06/2018 12:00",1528711504
"Barcelona - Sants","Bona","ID","01","08019042",2.1331,41.3788,NA,NA,NA,"12h","Bona","15 µg/m³",NA,NA,NA,"11/06/2018 13:00",1528715111
"Barcelona - Eixample","Bona","IH","01","08019043",2.1538,41.3853,"11h","--","--","11h","--","--","13h","Bona","26 µg/m³","11/06/2018 13:00",1528715111
"Barcelona - Gràcia","Bona","IJ","01","08019044",2.1534,41.3987,"12h","Bona","59 µg/m³","12h","Bona","22 µg/m³","13h","Bona","23 µg/m³","11/06/2018 13:00",1528715111
"Barcelona - Ciutadella","--","IL","01","08019050",2.1874,41.3864,"11h","--","--","11h","--","--",NA,NA,NA,"11/06/2018 13:00",1528715111
"Barcelona - Vall Hebron","Bona","IN","01","08019054",2.148,41.4261,"12h","Bona","69 µg/m³","12h","Bona","14 µg/m³","13h","Bona","20 µg/m³","11/06/2018 13:00",1528715111
"Barcelona - Palau Reial","Bona","IZ","01","08019057",2.1151,41.3875,"12h","Bona","69 µg/m³","12h","Bona","12 µg/m³","13h","Bona","21 µg/m³","11/06/2018 13:00",1528715111
