"nom_cabina","qualitat_aire","codi_dtes","zqa","codi_eoi","longitud","latitud","hora_o3","qualitat_o3","valor_o3","hora_no2","qualitat_no2","valor_no2","hora_pm10","qualitat_pm10","valor_pm10","generat","dateTime"
"Barcelona - Sants","Bona","ID","01","08019042",2.1331,41.3788,NA,NA,NA,"19h","Bona","16 µg/m³",NA,NA,NA,"30/06/2018 19:00",1530396303
"Barcelona - Eixample","Bona","IH","01","08019043",2.1538,41.3853,"19h","Bona","95 µg/m³","19h","Bona","45 µg/m³","19h","Bona","26 µg/m³","30/06/2018 19:00",1530396303
"Barcelona - Gràcia","Bona","IJ","01","08019044",2.1534,41.3987,"19h","Bona","106 µg/m³","19h","Bona","30 µg/m³","19h","Bona","21 µg/m³","30/06/2018 19:00",1530396303
"Barcelona - Ciutadella","Bona","IL","01","08019050",2.1874,41.3864,"19h","Bona","98 µg/m³","19h","Bona","7 µg/m³",NA,NA,NA,"30/06/2018 19:00",1530396303
"Barcelona - Vall Hebron","Bona","IN","01","08019054",2.148,41.4261,"17h","--","--","17h","--","--","19h","Bona","21 µg/m³","30/06/2018 19:00",1530396303
"Barcelona - Palau Reial","Regular","IZ","01","08019057",2.1151,41.3875,"18h","Regular","117 µg/m³","18h","Bona","10 µg/m³","19h","Bona","18 µg/m³","30/06/2018 19:00",1530396303
"Barcelona - Poblenou","Bona","I2","01","08019004",2.2045,41.4039,NA,NA,NA,"19h","Bona","11 µg/m³","19h","Bona","19 µg/m³","30/06/2018 19:00",1530396303
"Barcelona - Sants","Bona","ID","01","08019042",2.1331,41.3788,NA,NA,NA,"19h","Bona","16 µg/m³",NA,NA,NA,"30/06/2018 19:00",1530399902
"Barcelona - Eixample","Bona","IH","01","08019043",2.1538,41.3853,"19h","Bona","95 µg/m³","19h","Bona","45 µg/m³","19h","Bona","26 µg/m³","30/06/2018 19:00",1530399902
"Barcelona - Gràcia","Bona","IJ","01","08019044",2.1534,41.3987,"19h","Bona","106 µg/m³","19h","Bona","30 µg/m³","19h","Bona","21 µg/m³","30/06/2018 19:00",1530399902
"Barcelona - Ciutadella","Bona","IL","01","08019050",2.1874,41.3864,"19h","Bona","98 µg/m³","19h","Bona","7 µg/m³",NA,NA,NA,"30/06/2018 19:00",1530399902
"Barcelona - Vall Hebron","Bona","IN","01","08019054",2.148,41.4261,"17h","--","--","17h","--","--","19h","Bona","21 µg/m³","30/06/2018 19:00",1530399902
"Barcelona - Palau Reial","Regular","IZ","01","08019057",2.1151,41.3875,"18h","Regular","117 µg/m³","18h","Bona","10 µg/m³","19h","Bona","18 µg/m³","30/06/2018 19:00",1530399902
"Barcelona - Poblenou","Bona","I2","01","08019004",2.2045,41.4039,NA,NA,NA,"19h","Bona","11 µg/m³","19h","Bona","19 µg/m³","30/06/2018 19:00",1530399902
"Barcelona - Sants","Bona","ID","01","08019042",2.1331,41.3788,NA,NA,NA,"19h","Bona","16 µg/m³",NA,NA,NA,"30/06/2018 19:00",1530403503
"Barcelona - Eixample","Bona","IH","01","08019043",2.1538,41.3853,"19h","Bona","95 µg/m³","19h","Bona","45 µg/m³","19h","Bona","26 µg/m³","30/06/2018 19:00",1530403503
"Barcelona - Gràcia","Bona","IJ","01","08019044",2.1534,41.3987,"19h","Bona","106 µg/m³","19h","Bona","30 µg/m³","19h","Bona","21 µg/m³","30/06/2018 19:00",1530403503
"Barcelona - Ciutadella","Bona","IL","01","08019050",2.1874,41.3864,"19h","Bona","98 µg/m³","19h","Bona","7 µg/m³",NA,NA,NA,"30/06/2018 19:00",1530403503
"Barcelona - Vall Hebron","Bona","IN","01","08019054",2.148,41.4261,"17h","--","--","17h","--","--","19h","Bona","21 µg/m³","30/06/2018 19:00",1530403503
"Barcelona - Palau Reial","Regular","IZ","01","08019057",2.1151,41.3875,"18h","Regular","117 µg/m³","18h","Bona","10 µg/m³","19h","Bona","18 µg/m³","30/06/2018 19:00",1530403503
"Barcelona - Poblenou","Bona","I2","01","08019004",2.2045,41.4039,NA,NA,NA,"19h","Bona","11 µg/m³","19h","Bona","19 µg/m³","30/06/2018 19:00",1530403503
"Barcelona - Sants","Bona","ID","01","08019042",2.1331,41.3788,NA,NA,NA,"19h","Bona","16 µg/m³",NA,NA,NA,"30/06/2018 19:00",1530407103
"Barcelona - Eixample","Bona","IH","01","08019043",2.1538,41.3853,"19h","Bona","95 µg/m³","19h","Bona","45 µg/m³","19h","Bona","26 µg/m³","30/06/2018 19:00",1530407103
"Barcelona - Gràcia","Bona","IJ","01","08019044",2.1534,41.3987,"19h","Bona","106 µg/m³","19h","Bona","30 µg/m³","19h","Bona","21 µg/m³","30/06/2018 19:00",1530407103
"Barcelona - Ciutadella","Bona","IL","01","08019050",2.1874,41.3864,"19h","Bona","98 µg/m³","19h","Bona","7 µg/m³",NA,NA,NA,"30/06/2018 19:00",1530407103
"Barcelona - Vall Hebron","Bona","IN","01","08019054",2.148,41.4261,"17h","--","--","17h","--","--","19h","Bona","21 µg/m³","30/06/2018 19:00",1530407103
"Barcelona - Palau Reial","Regular","IZ","01","08019057",2.1151,41.3875,"18h","Regular","117 µg/m³","18h","Bona","10 µg/m³","19h","Bona","18 µg/m³","30/06/2018 19:00",1530407103
"Barcelona - Poblenou","Bona","I2","01","08019004",2.2045,41.4039,NA,NA,NA,"19h","Bona","11 µg/m³","19h","Bona","19 µg/m³","30/06/2018 19:00",1530407103
"Barcelona - Sants","Bona","ID","01","08019042",2.1331,41.3788,NA,NA,NA,"19h","Bona","16 µg/m³",NA,NA,NA,"30/06/2018 19:00",1530410702
"Barcelona - Eixample","Bona","IH","01","08019043",2.1538,41.3853,"19h","Bona","95 µg/m³","19h","Bona","45 µg/m³","19h","Bona","26 µg/m³","30/06/2018 19:00",1530410702
"Barcelona - Gràcia","Bona","IJ","01","08019044",2.1534,41.3987,"19h","Bona","106 µg/m³","19h","Bona","30 µg/m³","19h","Bona","21 µg/m³","30/06/2018 19:00",1530410702
"Barcelona - Ciutadella","Bona","IL","01","08019050",2.1874,41.3864,"19h","Bona","98 µg/m³","19h","Bona","7 µg/m³",NA,NA,NA,"30/06/2018 19:00",1530410702
"Barcelona - Vall Hebron","Bona","IN","01","08019054",2.148,41.4261,"17h","--","--","17h","--","--","19h","Bona","21 µg/m³","30/06/2018 19:00",1530410702
"Barcelona - Palau Reial","Regular","IZ","01","08019057",2.1151,41.3875,"18h","Regular","117 µg/m³","18h","Bona","10 µg/m³","19h","Bona","18 µg/m³","30/06/2018 19:00",1530410702
"Barcelona - Poblenou","Bona","I2","01","08019004",2.2045,41.4039,NA,NA,NA,"19h","Bona","11 µg/m³","19h","Bona","19 µg/m³","30/06/2018 19:00",1530410702
"Barcelona - Sants","Bona","ID","01","08019042",2.1331,41.3788,NA,NA,NA,"19h","Bona","16 µg/m³",NA,NA,NA,"30/06/2018 19:00",1530414303
"Barcelona - Eixample","Bona","IH","01","08019043",2.1538,41.3853,"19h","Bona","95 µg/m³","19h","Bona","45 µg/m³","19h","Bona","26 µg/m³","30/06/2018 19:00",1530414303
"Barcelona - Gràcia","Bona","IJ","01","08019044",2.1534,41.3987,"19h","Bona","106 µg/m³","19h","Bona","30 µg/m³","19h","Bona","21 µg/m³","30/06/2018 19:00",1530414303
"Barcelona - Ciutadella","Bona","IL","01","08019050",2.1874,41.3864,"19h","Bona","98 µg/m³","19h","Bona","7 µg/m³",NA,NA,NA,"30/06/2018 19:00",1530414303
"Barcelona - Vall Hebron","Bona","IN","01","08019054",2.148,41.4261,"17h","--","--","17h","--","--","19h","Bona","21 µg/m³","30/06/2018 19:00",1530414303
"Barcelona - Palau Reial","Regular","IZ","01","08019057",2.1151,41.3875,"18h","Regular","117 µg/m³","18h","Bona","10 µg/m³","19h","Bona","18 µg/m³","30/06/2018 19:00",1530414303
"Barcelona - Poblenou","Bona","I2","01","08019004",2.2045,41.4039,NA,NA,NA,"19h","Bona","11 µg/m³","19h","Bona","19 µg/m³","30/06/2018 19:00",1530414303
"Barcelona - Sants","Bona","ID","01","08019042",2.1331,41.3788,NA,NA,NA,"19h","Bona","16 µg/m³",NA,NA,NA,"30/06/2018 19:00",1530417903
"Barcelona - Eixample","Bona","IH","01","08019043",2.1538,41.3853,"19h","Bona","95 µg/m³","19h","Bona","45 µg/m³","19h","Bona","26 µg/m³","30/06/2018 19:00",1530417903
"Barcelona - Gràcia","Bona","IJ","01","08019044",2.1534,41.3987,"19h","Bona","106 µg/m³","19h","Bona","30 µg/m³","19h","Bona","21 µg/m³","30/06/2018 19:00",1530417903
"Barcelona - Ciutadella","Bona","IL","01","08019050",2.1874,41.3864,"19h","Bona","98 µg/m³","19h","Bona","7 µg/m³",NA,NA,NA,"30/06/2018 19:00",1530417903
"Barcelona - Vall Hebron","Bona","IN","01","08019054",2.148,41.4261,"17h","--","--","17h","--","--","19h","Bona","21 µg/m³","30/06/2018 19:00",1530417903
"Barcelona - Palau Reial","Regular","IZ","01","08019057",2.1151,41.3875,"18h","Regular","117 µg/m³","18h","Bona","10 µg/m³","19h","Bona","18 µg/m³","30/06/2018 19:00",1530417903
"Barcelona - Poblenou","Bona","I2","01","08019004",2.2045,41.4039,NA,NA,NA,"19h","Bona","11 µg/m³","19h","Bona","19 µg/m³","30/06/2018 19:00",1530417903
"Barcelona - Sants","Bona","ID","01","08019042",2.1331,41.3788,NA,NA,NA,"19h","Bona","16 µg/m³",NA,NA,NA,"30/06/2018 19:00",1530421503
"Barcelona - Eixample","Bona","IH","01","08019043",2.1538,41.3853,"19h","Bona","95 µg/m³","19h","Bona","45 µg/m³","19h","Bona","26 µg/m³","30/06/2018 19:00",1530421503
"Barcelona - Gràcia","Bona","IJ","01","08019044",2.1534,41.3987,"19h","Bona","106 µg/m³","19h","Bona","30 µg/m³","19h","Bona","21 µg/m³","30/06/2018 19:00",1530421503
"Barcelona - Ciutadella","Bona","IL","01","08019050",2.1874,41.3864,"19h","Bona","98 µg/m³","19h","Bona","7 µg/m³",NA,NA,NA,"30/06/2018 19:00",1530421503
"Barcelona - Vall Hebron","Bona","IN","01","08019054",2.148,41.4261,"17h","--","--","17h","--","--","19h","Bona","21 µg/m³","30/06/2018 19:00",1530421503
"Barcelona - Palau Reial","Regular","IZ","01","08019057",2.1151,41.3875,"18h","Regular","117 µg/m³","18h","Bona","10 µg/m³","19h","Bona","18 µg/m³","30/06/2018 19:00",1530421503
"Barcelona - Poblenou","Bona","I2","01","08019004",2.2045,41.4039,NA,NA,NA,"19h","Bona","11 µg/m³","19h","Bona","19 µg/m³","30/06/2018 19:00",1530421503
"Barcelona - Sants","Bona","ID","01","08019042",2.1331,41.3788,NA,NA,NA,"19h","Bona","16 µg/m³",NA,NA,NA,"30/06/2018 19:00",1530425102
"Barcelona - Eixample","Bona","IH","01","08019043",2.1538,41.3853,"19h","Bona","95 µg/m³","19h","Bona","45 µg/m³","19h","Bona","26 µg/m³","30/06/2018 19:00",1530425102
"Barcelona - Gràcia","Bona","IJ","01","08019044",2.1534,41.3987,"19h","Bona","106 µg/m³","19h","Bona","30 µg/m³","19h","Bona","21 µg/m³","30/06/2018 19:00",1530425102
"Barcelona - Ciutadella","Bona","IL","01","08019050",2.1874,41.3864,"19h","Bona","98 µg/m³","19h","Bona","7 µg/m³",NA,NA,NA,"30/06/2018 19:00",1530425102
"Barcelona - Vall Hebron","Bona","IN","01","08019054",2.148,41.4261,"17h","--","--","17h","--","--","19h","Bona","21 µg/m³","30/06/2018 19:00",1530425102
"Barcelona - Palau Reial","Regular","IZ","01","08019057",2.1151,41.3875,"18h","Regular","117 µg/m³","18h","Bona","10 µg/m³","19h","Bona","18 µg/m³","30/06/2018 19:00",1530425102
"Barcelona - Poblenou","Bona","I2","01","08019004",2.2045,41.4039,NA,NA,NA,"19h","Bona","11 µg/m³","19h","Bona","19 µg/m³","30/06/2018 19:00",1530425102
"Barcelona - Sants","Bona","ID","01","08019042",2.1331,41.3788,NA,NA,NA,"19h","Bona","16 µg/m³",NA,NA,NA,"30/06/2018 19:00",1530428703
"Barcelona - Eixample","Bona","IH","01","08019043",2.1538,41.3853,"19h","Bona","95 µg/m³","19h","Bona","45 µg/m³","19h","Bona","26 µg/m³","30/06/2018 19:00",1530428703
"Barcelona - Gràcia","Bona","IJ","01","08019044",2.1534,41.3987,"19h","Bona","106 µg/m³","19h","Bona","30 µg/m³","19h","Bona","21 µg/m³","30/06/2018 19:00",1530428703
"Barcelona - Ciutadella","Bona","IL","01","08019050",2.1874,41.3864,"19h","Bona","98 µg/m³","19h","Bona","7 µg/m³",NA,NA,NA,"30/06/2018 19:00",1530428703
"Barcelona - Vall Hebron","Bona","IN","01","08019054",2.148,41.4261,"17h","--","--","17h","--","--","19h","Bona","21 µg/m³","30/06/2018 19:00",1530428703
"Barcelona - Palau Reial","Regular","IZ","01","08019057",2.1151,41.3875,"18h","Regular","117 µg/m³","18h","Bona","10 µg/m³","19h","Bona","18 µg/m³","30/06/2018 19:00",1530428703
"Barcelona - Poblenou","Bona","I2","01","08019004",2.2045,41.4039,NA,NA,NA,"19h","Bona","11 µg/m³","19h","Bona","19 µg/m³","30/06/2018 19:00",1530428703
"Barcelona - Sants","Bona","ID","01","08019042",2.1331,41.3788,NA,NA,NA,"19h","Bona","16 µg/m³",NA,NA,NA,"30/06/2018 19:00",1530432303
