"nom_cabina","qualitat_aire","codi_dtes","zqa","codi_eoi","longitud","latitud","hora_o3","qualitat_o3","valor_o3","hora_no2","qualitat_no2","valor_no2","hora_pm10","qualitat_pm10","valor_pm10","generat","dateTime"
"Barcelona - Sants","Bona","ID","01","08019042",2.1331,41.3788,NA,NA,NA,"0h","Bona","47 µg/m³",NA,NA,NA,"01/08/2018 0:00",1533074703
"Barcelona - Eixample","Regular","IH","01","08019043",2.1538,41.3853,"0h","Bona","21 µg/m³","0h","Bona","70 µg/m³","0h","Regular","40 µg/m³","01/08/2018 0:00",1533074703
"Barcelona - Gràcia","Bona","IJ","01","08019044",2.1534,41.3987,"0h","Bona","13 µg/m³","0h","Bona","81 µg/m³","0h","Bona","36 µg/m³","01/08/2018 0:00",1533074703
"Barcelona - Ciutadella","Bona","IL","01","08019050",2.1874,41.3864,"0h","Bona","47 µg/m³","0h","Bona","21 µg/m³",NA,NA,NA,"01/08/2018 0:00",1533074703
"Barcelona - Vall Hebron","Bona","IN","01","08019054",2.148,41.4261,"0h","Bona","23 µg/m³","0h","Bona","67 µg/m³","0h","Bona","24 µg/m³","01/08/2018 0:00",1533074703
"Barcelona - Palau Reial","--","IZ","01","08019057",2.1151,41.3875,NA,NA,NA,NA,NA,NA,NA,NA,NA,"01/08/2018 0:00",1533074703
"Barcelona - Poblenou","Bona","I2","01","08019004",2.2045,41.4039,NA,NA,NA,"0h","Bona","12 µg/m³","0h","Bona","32 µg/m³","01/08/2018 0:00",1533074703
"Barcelona - Observ Fabra","Bona","OF","01","08019058",2.1239,41.4183,"0h","Bona","56 µg/m³","0h","Bona","55 µg/m³",NA,NA,NA,"01/08/2018 0:00",1533074703
"Barcelona - Sants","Bona","ID","01","08019042",2.1331,41.3788,NA,NA,NA,"0h","Bona","45 µg/m³",NA,NA,NA,"01/08/2018 0:00",1533078305
"Barcelona - Eixample","Regular","IH","01","08019043",2.1538,41.3853,"0h","Bona","21 µg/m³","0h","Bona","60 µg/m³","0h","Regular","39 µg/m³","01/08/2018 0:00",1533078305
"Barcelona - Gràcia","Bona","IJ","01","08019044",2.1534,41.3987,"0h","Bona","13 µg/m³","0h","Bona","81 µg/m³","0h","Bona","36 µg/m³","01/08/2018 0:00",1533078305
"Barcelona - Ciutadella","Bona","IL","01","08019050",2.1874,41.3864,"0h","Bona","47 µg/m³","0h","Bona","21 µg/m³",NA,NA,NA,"01/08/2018 0:00",1533078305
"Barcelona - Vall Hebron","Bona","IN","01","08019054",2.148,41.4261,"0h","Bona","23 µg/m³","0h","Bona","67 µg/m³","0h","Bona","24 µg/m³","01/08/2018 0:00",1533078305
"Barcelona - Palau Reial","--","IZ","01","08019057",2.1151,41.3875,NA,NA,NA,NA,NA,NA,NA,NA,NA,"01/08/2018 0:00",1533078305
"Barcelona - Poblenou","Bona","I2","01","08019004",2.2045,41.4039,NA,NA,NA,"0h","Bona","12 µg/m³","0h","Bona","32 µg/m³","01/08/2018 0:00",1533078305
"Barcelona - Observ Fabra","Bona","OF","01","08019058",2.1239,41.4183,"0h","Bona","56 µg/m³","0h","Bona","55 µg/m³",NA,NA,NA,"01/08/2018 0:00",1533078305
"Barcelona - Sants","Bona","ID","01","08019042",2.1331,41.3788,NA,NA,NA,"1h","Bona","47 µg/m³",NA,NA,NA,"01/08/2018 2:00",1533081902
"Barcelona - Eixample","Regular","IH","01","08019043",2.1538,41.3853,"1h","Bona","15 µg/m³","1h","Bona","61 µg/m³","2h","Regular","40 µg/m³","01/08/2018 2:00",1533081902
"Barcelona - Gràcia","Bona","IJ","01","08019044",2.1534,41.3987,"1h","Bona","12 µg/m³","1h","Bona","77 µg/m³","1h","Bona","35 µg/m³","01/08/2018 2:00",1533081902
"Barcelona - Ciutadella","Bona","IL","01","08019050",2.1874,41.3864,"1h","Bona","21 µg/m³","1h","Bona","46 µg/m³",NA,NA,NA,"01/08/2018 2:00",1533081902
"Barcelona - Vall Hebron","Bona","IN","01","08019054",2.148,41.4261,"1h","Bona","24 µg/m³","1h","Bona","55 µg/m³","1h","Bona","25 µg/m³","01/08/2018 2:00",1533081902
