"nom_cabina","qualitat_aire","codi_dtes","zqa","codi_eoi","longitud","latitud","hora_o3","qualitat_o3","valor_o3","hora_no2","qualitat_no2","valor_no2","hora_pm10","qualitat_pm10","valor_pm10","generat","dateTime"
"Barcelona - Sants","Bona","ID","01","08019042",2.1331,41.3788,NA,NA,NA,"0h","Bona","46 µg/m³",NA,NA,NA,"01/09/2018 0:00",1535753104
"Barcelona - Eixample","Bona","IH","01","08019043",2.1538,41.3853,"0h","Bona","33 µg/m³","0h","Bona","66 µg/m³","0h","Bona","24 µg/m³","01/09/2018 0:00",1535753104
"Barcelona - Gràcia","Bona","IJ","01","08019044",2.1534,41.3987,"0h","Bona","50 µg/m³","0h","Bona","48 µg/m³",NA,NA,NA,"01/09/2018 0:00",1535753104
"Barcelona - Ciutadella","Bona","IL","01","08019050",2.1874,41.3864,"0h","Bona","72 µg/m³","0h","Bona","14 µg/m³",NA,NA,NA,"01/09/2018 0:00",1535753104
"Barcelona - Vall Hebron","Bona","IN","01","08019054",2.148,41.4261,"0h","Bona","80 µg/m³","0h","Bona","16 µg/m³","0h","Bona","18 µg/m³","01/09/2018 0:00",1535753104
"Barcelona - Palau Reial","Bona","IZ","01","08019057",2.1151,41.3875,NA,NA,NA,"23h","Bona","24 µg/m³","23h","Bona","18 µg/m³","01/09/2018 0:00",1535753104
"Barcelona - Poblenou","Bona","I2","01","08019004",2.2045,41.4039,NA,NA,NA,"23h","Bona","22 µg/m³","23h","Bona","18 µg/m³","01/09/2018 0:00",1535753104
"Barcelona - Observ Fabra","Bona","OF","01","08019058",2.1239,41.4183,"23h","Bona","76 µg/m³","23h","Bona","19 µg/m³",NA,NA,NA,"01/09/2018 0:00",1535753104
"Barcelona - Sants","Bona","ID","01","08019042",2.1331,41.3788,NA,NA,NA,"0h","Bona","47 µg/m³",NA,NA,NA,"01/09/2018 1:00",1535756703
"Barcelona - Eixample","Bona","IH","01","08019043",2.1538,41.3853,"0h","Bona","33 µg/m³","0h","Bona","64 µg/m³","1h","Bona","24 µg/m³","01/09/2018 1:00",1535756703
"Barcelona - Gràcia","Bona","IJ","01","08019044",2.1534,41.3987,"0h","Bona","59 µg/m³","0h","Bona","38 µg/m³",NA,NA,NA,"01/09/2018 1:00",1535756703
"Barcelona - Ciutadella","Bona","IL","01","08019050",2.1874,41.3864,"0h","Bona","83 µg/m³","0h","Bona","3 µg/m³",NA,NA,NA,"01/09/2018 1:00",1535756703
"Barcelona - Vall Hebron","Bona","IN","01","08019054",2.148,41.4261,"0h","Bona","82 µg/m³","0h","Bona","13 µg/m³","1h","Bona","17 µg/m³","01/09/2018 1:00",1535756703
"Barcelona - Palau Reial","Bona","IZ","01","08019057",2.1151,41.3875,"23h","--","--","0h","Bona","32 µg/m³","1h","Bona","17 µg/m³","01/09/2018 1:00",1535756703
"Barcelona - Poblenou","Bona","I2","01","08019004",2.2045,41.4039,NA,NA,NA,"0h","Bona","13 µg/m³","1h","Bona","17 µg/m³","01/09/2018 1:00",1535756703
"Barcelona - Observ Fabra","Bona","OF","01","08019058",2.1239,41.4183,"0h","Bona","80 µg/m³","0h","Bona","15 µg/m³",NA,NA,NA,"01/09/2018 1:00",1535756703
"Barcelona - Sants","Bona","ID","01","08019042",2.1331,41.3788,NA,NA,NA,"1h","Bona","33 µg/m³",NA,NA,NA,"01/09/2018 2:00",1535760303
"Barcelona - Eixample","Bona","IH","01","08019043",2.1538,41.3853,"1h","Bona","42 µg/m³","1h","Bona","51 µg/m³","1h","Bona","24 µg/m³","01/09/2018 2:00",1535760303
"Barcelona - Gràcia","Bona","IJ","01","08019044",2.1534,41.3987,"1h","Bona","56 µg/m³","1h","Bona","41 µg/m³",NA,NA,NA,"01/09/2018 2:00",1535760303
"Barcelona - Ciutadella","Bona","IL","01","08019050",2.1874,41.3864,"1h","Bona","81 µg/m³","1h","Bona","2 µg/m³",NA,NA,NA,"01/09/2018 2:00",1535760303
"Barcelona - Vall Hebron","Bona","IN","01","08019054",2.148,41.4261,"1h","Bona","83 µg/m³","1h","Bona","11 µg/m³","2h","Bona","17 µg/m³","01/09/2018 2:00",1535760303
"Barcelona - Palau Reial","Bona","IZ","01","08019057",2.1151,41.3875,"0h","--","--","1h","Bona","22 µg/m³","2h","Bona","17 µg/m³","01/09/2018 2:00",1535760303
"Barcelona - Poblenou","Bona","I2","01","08019004",2.2045,41.4039,NA,NA,NA,"1h","Bona","12 µg/m³","2h","Bona","17 µg/m³","01/09/2018 2:00",1535760303
"Barcelona - Observ Fabra","Bona","OF","01","08019058",2.1239,41.4183,"1h","Bona","86 µg/m³","1h","Bona","9 µg/m³",NA,NA,NA,"01/09/2018 2:00",1535760303
"Barcelona - Sants","Bona","ID","01","08019042",2.1331,41.3788,NA,NA,NA,"2h","Bona","34 µg/m³",NA,NA,NA,"01/09/2018 3:00",1535763903
"Barcelona - Eixample","Bona","IH","01","08019043",2.1538,41.3853,"2h","Bona","35 µg/m³","2h","Bona","48 µg/m³","3h","Bona","24 µg/m³","01/09/2018 3:00",1535763903
"Barcelona - Gràcia","Bona","IJ","01","08019044",2.1534,41.3987,"2h","Bona","47 µg/m³","2h","Bona","43 µg/m³",NA,NA,NA,"01/09/2018 3:00",1535763903
"Barcelona - Ciutadella","Bona","IL","01","08019050",2.1874,41.3864,"2h","Bona","59 µg/m³","2h","Bona","4 µg/m³",NA,NA,NA,"01/09/2018 3:00",1535763903
"Barcelona - Vall Hebron","Bona","IN","01","08019054",2.148,41.4261,"2h","Bona","73 µg/m³","2h","Bona","13 µg/m³","3h","Bona","17 µg/m³","01/09/2018 3:00",1535763903
"Barcelona - Palau Reial","Bona","IZ","01","08019057",2.1151,41.3875,"1h","--","--","2h","Bona","24 µg/m³","3h","Bona","17 µg/m³","01/09/2018 3:00",1535763903
"Barcelona - Poblenou","Bona","I2","01","08019004",2.2045,41.4039,NA,NA,NA,"2h","Bona","17 µg/m³","3h","Bona","17 µg/m³","01/09/2018 3:00",1535763903
"Barcelona - Observ Fabra","Bona","OF","01","08019058",2.1239,41.4183,"2h","Bona","81 µg/m³","2h","Bona","13 µg/m³",NA,NA,NA,"01/09/2018 3:00",1535763903
"Barcelona - Sants","Bona","ID","01","08019042",2.1331,41.3788,NA,NA,NA,"3h","Bona","39 µg/m³",NA,NA,NA,"01/09/2018 4:00",1535767502
"Barcelona - Eixample","Bona","IH","01","08019043",2.1538,41.3853,"3h","Bona","21 µg/m³","3h","Bona","61 µg/m³","4h","Bona","24 µg/m³","01/09/2018 4:00",1535767502
