"nom_cabina","qualitat_aire","codi_dtes","zqa","codi_eoi","longitud","latitud","hora_o3","qualitat_o3","valor_o3","hora_no2","qualitat_no2","valor_no2","hora_pm10","qualitat_pm10","valor_pm10","generat","dateTime"
"Barcelona - Sants","Bona","ID","01","08019042",2.1331,41.3788,NA,NA,NA,"0h","Bona","34 µg/m³",NA,NA,NA,"01/10/2018 0:00",1538345103
"Barcelona - Eixample","Bona","IH","01","08019043",2.1538,41.3853,"0h","Bona","69 µg/m³","0h","Bona","48 µg/m³","0h","Bona","28 µg/m³","01/10/2018 0:00",1538345103
"Barcelona - Gràcia","Bona","IJ","01","08019044",2.1534,41.3987,"0h","Bona","81 µg/m³","0h","Bona","26 µg/m³",NA,NA,NA,"01/10/2018 0:00",1538345103
"Barcelona - Ciutadella","Bona","IL","01","08019050",2.1874,41.3864,"0h","Bona","71 µg/m³","0h","Bona","19 µg/m³",NA,NA,NA,"01/10/2018 0:00",1538345103
"Barcelona - Vall Hebron","Bona","IN","01","08019054",2.148,41.4261,"0h","Bona","96 µg/m³","0h","Bona","14 µg/m³","0h","Bona","23 µg/m³","01/10/2018 0:00",1538345103
"Barcelona - Palau Reial","Bona","IZ","01","08019057",2.1151,41.3875,"0h","Bona","71 µg/m³","0h","Bona","26 µg/m³","0h","Bona","22 µg/m³","01/10/2018 0:00",1538345103
"Barcelona - Poblenou","Bona","I2","01","08019004",2.2045,41.4039,NA,NA,NA,"0h","Bona","12 µg/m³","0h","Bona","31 µg/m³","01/10/2018 0:00",1538345103
"Barcelona - Observ Fabra","Bona","OF","01","08019058",2.1239,41.4183,"0h","Bona","99 µg/m³","0h","Bona","13 µg/m³",NA,NA,NA,"01/10/2018 0:00",1538345103
"Barcelona - Sants","Bona","ID","01","08019042",2.1331,41.3788,NA,NA,NA,"0h","Bona","16 µg/m³",NA,NA,NA,"01/10/2018 1:00",1538348703
"Barcelona - Eixample","Bona","IH","01","08019043",2.1538,41.3853,"0h","Bona","81 µg/m³","0h","Bona","26 µg/m³","1h","Bona","28 µg/m³","01/10/2018 1:00",1538348703
"Barcelona - Gràcia","Bona","IJ","01","08019044",2.1534,41.3987,"0h","Bona","81 µg/m³","0h","Bona","28 µg/m³",NA,NA,NA,"01/10/2018 1:00",1538348703
"Barcelona - Ciutadella","Bona","IL","01","08019050",2.1874,41.3864,"23h","Bona","71 µg/m³","23h","Bona","19 µg/m³",NA,NA,NA,"01/10/2018 1:00",1538348703
"Barcelona - Vall Hebron","Bona","IN","01","08019054",2.148,41.4261,"0h","Bona","91 µg/m³","0h","Bona","13 µg/m³","1h","Bona","23 µg/m³","01/10/2018 1:00",1538348703
