"nom_cabina","qualitat_aire","codi_dtes","zqa","codi_eoi","longitud","latitud","hora_o3","qualitat_o3","valor_o3","hora_no2","qualitat_no2","valor_no2","hora_pm10","qualitat_pm10","valor_pm10","generat","dateTime"
"Barcelona - Sants","Bona","ID","01","08019042",2.1331,41.3788,NA,NA,NA,"0h","Bona","84 µg/m³",NA,NA,NA,"01/11/2018 0:00",1541027104
"Barcelona - Eixample","Regular","IH","01","08019043",2.1538,41.3853,"0h","Bona","1 µg/m³","0h","Regular","113 µg/m³","0h","Bona","36 µg/m³","01/11/2018 0:00",1541027104
"Barcelona - Gràcia","Bona","IJ","01","08019044",2.1534,41.3987,"0h","Bona","10 µg/m³","0h","Bona","73 µg/m³",NA,NA,NA,"01/11/2018 0:00",1541027104
"Barcelona - Ciutadella","Bona","IL","01","08019050",2.1874,41.3864,"0h","Bona","2 µg/m³","0h","Bona","86 µg/m³",NA,NA,NA,"01/11/2018 0:00",1541027104
"Barcelona - Vall Hebron","Bona","IN","01","08019054",2.148,41.4261,"0h","Bona","7 µg/m³","0h","Bona","69 µg/m³",NA,NA,NA,"01/11/2018 0:00",1541027104
"Barcelona - Palau Reial","Bona","IZ","01","08019057",2.1151,41.3875,"23h","Bona","11 µg/m³","23h","Bona","57 µg/m³","23h","Bona","23 µg/m³","01/11/2018 0:00",1541027104
"Barcelona - Poblenou","Bona","I2","01","08019004",2.2045,41.4039,NA,NA,NA,"23h","Bona","86 µg/m³","23h","Bona","32 µg/m³","01/11/2018 0:00",1541027104
"Barcelona - Observ Fabra","Bona","OF","01","08019058",2.1239,41.4183,"23h","Bona","58 µg/m³","23h","Bona","3 µg/m³","23h","Bona","25 µg/m³","01/11/2018 0:00",1541027104
"Barcelona - Sants","Bona","ID","01","08019042",2.1331,41.3788,NA,NA,NA,"0h","Bona","62 µg/m³",NA,NA,NA,"01/11/2018 1:00",1541030725
"Barcelona - Eixample","Bona","IH","01","08019043",2.1538,41.3853,"0h","Bona","6 µg/m³","0h","Bona","80 µg/m³","1h","Bona","35 µg/m³","01/11/2018 1:00",1541030725
"Barcelona - Gràcia","Bona","IJ","01","08019044",2.1534,41.3987,"0h","Bona","21 µg/m³","0h","Bona","59 µg/m³",NA,NA,NA,"01/11/2018 1:00",1541030725
"Barcelona - Ciutadella","Bona","IL","01","08019050",2.1874,41.3864,"0h","Bona","4 µg/m³","0h","Bona","78 µg/m³",NA,NA,NA,"01/11/2018 1:00",1541030725
"Barcelona - Vall Hebron","Bona","IN","01","08019054",2.148,41.4261,"0h","Bona","29 µg/m³","0h","Bona","45 µg/m³",NA,NA,NA,"01/11/2018 1:00",1541030725
"Barcelona - Palau Reial","Bona","IZ","01","08019057",2.1151,41.3875,"0h","Bona","27 µg/m³","0h","Bona","38 µg/m³","1h","Bona","24 µg/m³","01/11/2018 1:00",1541030725
"Barcelona - Poblenou","Bona","I2","01","08019004",2.2045,41.4039,NA,NA,NA,"0h","Bona","75 µg/m³","1h","Bona","32 µg/m³","01/11/2018 1:00",1541030725
"Barcelona - Observ Fabra","Bona","OF","01","08019058",2.1239,41.4183,"0h","Bona","87 µg/m³","0h","Bona","8 µg/m³","1h","Bona","25 µg/m³","01/11/2018 1:00",1541030725
"Barcelona - Sants","Bona","ID","01","08019042",2.1331,41.3788,NA,NA,NA,"1h","Bona","46 µg/m³",NA,NA,NA,"01/11/2018 2:00",1541034303
"Barcelona - Eixample","Bona","IH","01","08019043",2.1538,41.3853,"1h","Bona","14 µg/m³","1h","Bona","64 µg/m³","1h","Bona","34 µg/m³","01/11/2018 2:00",1541034303
"Barcelona - Gràcia","Bona","IJ","01","08019044",2.1534,41.3987,"1h","Bona","32 µg/m³","1h","Bona","41 µg/m³",NA,NA,NA,"01/11/2018 2:00",1541034303
"Barcelona - Ciutadella","Bona","IL","01","08019050",2.1874,41.3864,"1h","Bona","24 µg/m³","1h","Bona","56 µg/m³",NA,NA,NA,"01/11/2018 2:00",1541034303
"Barcelona - Vall Hebron","Bona","IN","01","08019054",2.148,41.4261,"1h","Bona","47 µg/m³","1h","Bona","27 µg/m³",NA,NA,NA,"01/11/2018 2:00",1541034303
"Barcelona - Palau Reial","Bona","IZ","01","08019057",2.1151,41.3875,"1h","Bona","34 µg/m³","1h","Bona","28 µg/m³","2h","Bona","24 µg/m³","01/11/2018 2:00",1541034303
"Barcelona - Poblenou","Bona","I2","01","08019004",2.2045,41.4039,NA,NA,NA,"1h","Bona","51 µg/m³","2h","Bona","32 µg/m³","01/11/2018 2:00",1541034303
"Barcelona - Observ Fabra","Bona","OF","01","08019058",2.1239,41.4183,"1h","Bona","77 µg/m³","1h","Bona","11 µg/m³","2h","Bona","25 µg/m³","01/11/2018 2:00",1541034303
"Barcelona - Sants","Bona","ID","01","08019042",2.1331,41.3788,NA,NA,NA,"1h","Bona","46 µg/m³",NA,NA,NA,"01/11/2018 3:00",1541037902
"Barcelona - Eixample","Bona","IH","01","08019043",2.1538,41.3853,"2h","Bona","32 µg/m³","2h","Bona","44 µg/m³","3h","Bona","35 µg/m³","01/11/2018 3:00",1541037902
"Barcelona - Gràcia","Bona","IJ","01","08019044",2.1534,41.3987,"2h","Bona","48 µg/m³","2h","Bona","27 µg/m³",NA,NA,NA,"01/11/2018 3:00",1541037902
"Barcelona - Ciutadella","Bona","IL","01","08019050",2.1874,41.3864,"2h","Bona","45 µg/m³","2h","Bona","29 µg/m³",NA,NA,NA,"01/11/2018 3:00",1541037902
"Barcelona - Vall Hebron","Bona","IN","01","08019054",2.148,41.4261,"2h","Bona","65 µg/m³","2h","Bona","14 µg/m³",NA,NA,NA,"01/11/2018 3:00",1541037902
"Barcelona - Palau Reial","Bona","IZ","01","08019057",2.1151,41.3875,"2h","Bona","38 µg/m³","2h","Bona","19 µg/m³","3h","Bona","24 µg/m³","01/11/2018 3:00",1541037902
"Barcelona - Poblenou","Bona","I2","01","08019004",2.2045,41.4039,NA,NA,NA,"2h","Bona","34 µg/m³","3h","Bona","31 µg/m³","01/11/2018 3:00",1541037902
"Barcelona - Observ Fabra","Bona","OF","01","08019058",2.1239,41.4183,"2h","Bona","83 µg/m³","2h","Bona","6 µg/m³","2h","Bona","24 µg/m³","01/11/2018 3:00",1541037902
"Barcelona - Sants","--","ID","01","08019042",2.1331,41.3788,NA,NA,NA,"2h","--","--",NA,NA,NA,"01/11/2018 4:00",1541041503
"Barcelona - Eixample","Bona","IH","01","08019043",2.1538,41.3853,"3h","Bona","43 µg/m³","3h","Bona","34 µg/m³","4h","Bona","34 µg/m³","01/11/2018 4:00",1541041503
"Barcelona - Gràcia","Bona","IJ","01","08019044",2.1534,41.3987,"3h","Bona","58 µg/m³","3h","Bona","18 µg/m³",NA,NA,NA,"01/11/2018 4:00",1541041503
"Barcelona - Ciutadella","Bona","IL","01","08019050",2.1874,41.3864,"3h","Bona","61 µg/m³","3h","Bona","19 µg/m³",NA,NA,NA,"01/11/2018 4:00",1541041503
"Barcelona - Vall Hebron","Bona","IN","01","08019054",2.148,41.4261,"3h","Bona","70 µg/m³","3h","Bona","11 µg/m³",NA,NA,NA,"01/11/2018 4:00",1541041503
"Barcelona - Palau Reial","Bona","IZ","01","08019057",2.1151,41.3875,"3h","Bona","57 µg/m³","3h","Bona","7 µg/m³","4h","Bona","23 µg/m³","01/11/2018 4:00",1541041503
"Barcelona - Poblenou","Bona","I2","01","08019004",2.2045,41.4039,NA,NA,NA,"3h","Bona","20 µg/m³","4h","Bona","30 µg/m³","01/11/2018 4:00",1541041503
"Barcelona - Observ Fabra","Bona","OF","01","08019058",2.1239,41.4183,"3h","Bona","83 µg/m³","3h","Bona","4 µg/m³","4h","Bona","23 µg/m³","01/11/2018 4:00",1541041503
"Barcelona - Sants","--","ID","01","08019042",2.1331,41.3788,NA,NA,NA,"2h","--","--",NA,NA,NA,"01/11/2018 5:00",1541045102
"Barcelona - Eixample","Bona","IH","01","08019043",2.1538,41.3853,"4h","Bona","45 µg/m³","4h","Bona","26 µg/m³","4h","Bona","33 µg/m³","01/11/2018 5:00",1541045102
"Barcelona - Gràcia","Bona","IJ","01","08019044",2.1534,41.3987,"4h","Bona","58 µg/m³","4h","Bona","16 µg/m³",NA,NA,NA,"01/11/2018 5:00",1541045102
"Barcelona - Ciutadella","Bona","IL","01","08019050",2.1874,41.3864,"4h","Bona","50 µg/m³","4h","Bona","26 µg/m³",NA,NA,NA,"01/11/2018 5:00",1541045102
"Barcelona - Vall Hebron","Bona","IN","01","08019054",2.148,41.4261,"4h","Bona","69 µg/m³","4h","Bona","7 µg/m³",NA,NA,NA,"01/11/2018 5:00",1541045102
"Barcelona - Palau Reial","Bona","IZ","01","08019057",2.1151,41.3875,"4h","Bona","48 µg/m³","4h","Bona","8 µg/m³","5h","Bona","21 µg/m³","01/11/2018 5:00",1541045102
"Barcelona - Poblenou","Bona","I2","01","08019004",2.2045,41.4039,NA,NA,NA,"4h","Bona","25 µg/m³","5h","Bona","27 µg/m³","01/11/2018 5:00",1541045102
"Barcelona - Observ Fabra","Bona","OF","01","08019058",2.1239,41.4183,"4h","Bona","81 µg/m³","4h","Bona","2 µg/m³","5h","Bona","18 µg/m³","01/11/2018 5:00",1541045102
"Barcelona - Sants","--","ID","01","08019042",2.1331,41.3788,NA,NA,NA,"4h","--","--",NA,NA,NA,"01/11/2018 6:00",1541048703
"Barcelona - Eixample","Bona","IH","01","08019043",2.1538,41.3853,"5h","Bona","37 µg/m³","5h","Bona","31 µg/m³","6h","Bona","27 µg/m³","01/11/2018 6:00",1541048703
"Barcelona - Gràcia","Bona","IJ","01","08019044",2.1534,41.3987,"5h","Bona","51 µg/m³","5h","Bona","19 µg/m³",NA,NA,NA,"01/11/2018 6:00",1541048703
"Barcelona - Ciutadella","Bona","IL","01","08019050",2.1874,41.3864,"5h","Bona","52 µg/m³","5h","Bona","18 µg/m³",NA,NA,NA,"01/11/2018 6:00",1541048703
"Barcelona - Vall Hebron","Bona","IN","01","08019054",2.148,41.4261,"5h","Bona","63 µg/m³","5h","Bona","8 µg/m³",NA,NA,NA,"01/11/2018 6:00",1541048703
"Barcelona - Palau Reial","Bona","IZ","01","08019057",2.1151,41.3875,"5h","Bona","41 µg/m³","5h","Bona","11 µg/m³","6h","Bona","17 µg/m³","01/11/2018 6:00",1541048703
"Barcelona - Poblenou","Bona","I2","01","08019004",2.2045,41.4039,NA,NA,NA,"5h","Bona","27 µg/m³","6h","Bona","24 µg/m³","01/11/2018 6:00",1541048703
"Barcelona - Observ Fabra","Bona","OF","01","08019058",2.1239,41.4183,"5h","Bona","77 µg/m³","5h","Bona","2 µg/m³","5h","Bona","18 µg/m³","01/11/2018 6:00",1541048703
"Barcelona - Sants","Bona","ID","01","08019042",2.1331,41.3788,NA,NA,NA,"6h","Bona","17 µg/m³",NA,NA,NA,"01/11/2018 7:00",1541052302
"Barcelona - Eixample","Bona","IH","01","08019043",2.1538,41.3853,"6h","Bona","24 µg/m³","6h","Bona","37 µg/m³","7h","Bona","25 µg/m³","01/11/2018 7:00",1541052302
"Barcelona - Gràcia","Bona","IJ","01","08019044",2.1534,41.3987,"6h","Bona","45 µg/m³","6h","Bona","19 µg/m³",NA,NA,NA,"01/11/2018 7:00",1541052302
"Barcelona - Ciutadella","Bona","IL","01","08019050",2.1874,41.3864,"6h","Bona","46 µg/m³","6h","Bona","17 µg/m³",NA,NA,NA,"01/11/2018 7:00",1541052302
"Barcelona - Vall Hebron","Bona","IN","01","08019054",2.148,41.4261,"6h","Bona","54 µg/m³","6h","Bona","11 µg/m³",NA,NA,NA,"01/11/2018 7:00",1541052302
"Barcelona - Palau Reial","Bona","IZ","01","08019057",2.1151,41.3875,"6h","Bona","28 µg/m³","6h","Bona","17 µg/m³","7h","Bona","15 µg/m³","01/11/2018 7:00",1541052302
"Barcelona - Poblenou","Bona","I2","01","08019004",2.2045,41.4039,NA,NA,NA,"6h","Bona","22 µg/m³","7h","Bona","21 µg/m³","01/11/2018 7:00",1541052302
"Barcelona - Observ Fabra","Bona","OF","01","08019058",2.1239,41.4183,"6h","Bona","69 µg/m³","6h","Bona","2 µg/m³","7h","Bona","10 µg/m³","01/11/2018 7:00",1541052302
"Barcelona - Sants","Bona","ID","01","08019042",2.1331,41.3788,NA,NA,NA,"7h","Bona","25 µg/m³",NA,NA,NA,"01/11/2018 8:00",1541055903
"Barcelona - Eixample","Bona","IH","01","08019043",2.1538,41.3853,"7h","Bona","18 µg/m³","7h","Bona","42 µg/m³","7h","Bona","24 µg/m³","01/11/2018 8:00",1541055903
"Barcelona - Gràcia","Bona","IJ","01","08019044",2.1534,41.3987,"7h","Bona","39 µg/m³","7h","Bona","21 µg/m³",NA,NA,NA,"01/11/2018 8:00",1541055903
"Barcelona - Ciutadella","Bona","IL","01","08019050",2.1874,41.3864,"7h","Bona","36 µg/m³","7h","Bona","21 µg/m³",NA,NA,NA,"01/11/2018 8:00",1541055903
"Barcelona - Vall Hebron","Bona","IN","01","08019054",2.148,41.4261,"7h","Bona","37 µg/m³","7h","Bona","26 µg/m³",NA,NA,NA,"01/11/2018 8:00",1541055903
"Barcelona - Palau Reial","Bona","IZ","01","08019057",2.1151,41.3875,"7h","Bona","10 µg/m³","7h","Bona","34 µg/m³","8h","Bona","13 µg/m³","01/11/2018 8:00",1541055903
"Barcelona - Poblenou","Bona","I2","01","08019004",2.2045,41.4039,NA,NA,NA,"7h","Bona","22 µg/m³","8h","Bona","20 µg/m³","01/11/2018 8:00",1541055903
"Barcelona - Observ Fabra","Bona","OF","01","08019058",2.1239,41.4183,"7h","Bona","67 µg/m³","7h","Bona","2 µg/m³","8h","Bona","8 µg/m³","01/11/2018 8:00",1541055903
"Barcelona - Sants","Bona","ID","01","08019042",2.1331,41.3788,NA,NA,NA,"8h","Bona","45 µg/m³",NA,NA,NA,"01/11/2018 9:00",1541059503
"Barcelona - Eixample","Bona","IH","01","08019043",2.1538,41.3853,"8h","Bona","6 µg/m³","8h","Bona","52 µg/m³","9h","Bona","21 µg/m³","01/11/2018 9:00",1541059503
"Barcelona - Gràcia","Bona","IJ","01","08019044",2.1534,41.3987,"8h","Bona","17 µg/m³","8h","Bona","43 µg/m³",NA,NA,NA,"01/11/2018 9:00",1541059503
"Barcelona - Ciutadella","Bona","IL","01","08019050",2.1874,41.3864,"8h","Bona","18 µg/m³","8h","Bona","34 µg/m³",NA,NA,NA,"01/11/2018 9:00",1541059503
"Barcelona - Vall Hebron","Bona","IN","01","08019054",2.148,41.4261,"8h","Bona","8 µg/m³","8h","Bona","59 µg/m³",NA,NA,NA,"01/11/2018 9:00",1541059503
"Barcelona - Palau Reial","Bona","IZ","01","08019057",2.1151,41.3875,"8h","Bona","7 µg/m³","8h","Bona","36 µg/m³","9h","Bona","12 µg/m³","01/11/2018 9:00",1541059503
"Barcelona - Poblenou","Bona","I2","01","08019004",2.2045,41.4039,NA,NA,NA,"8h","Bona","31 µg/m³","9h","Bona","18 µg/m³","01/11/2018 9:00",1541059503
"Barcelona - Observ Fabra","Bona","OF","01","08019058",2.1239,41.4183,"8h","Bona","67 µg/m³","8h","Bona","3 µg/m³","8h","Bona","8 µg/m³","01/11/2018 9:00",1541059503
"Barcelona - Sants","Bona","ID","01","08019042",2.1331,41.3788,NA,NA,NA,"9h","Bona","35 µg/m³",NA,NA,NA,"01/11/2018 10:00",1541063103
"Barcelona - Eixample","Bona","IH","01","08019043",2.1538,41.3853,"9h","Bona","3 µg/m³","9h","Bona","60 µg/m³","10h","Bona","20 µg/m³","01/11/2018 10:00",1541063103
"Barcelona - Gràcia","Bona","IJ","01","08019044",2.1534,41.3987,"9h","Bona","14 µg/m³","9h","Bona","49 µg/m³",NA,NA,NA,"01/11/2018 10:00",1541063103
"Barcelona - Ciutadella","Bona","IL","01","08019050",2.1874,41.3864,"9h","Bona","24 µg/m³","9h","Bona","34 µg/m³",NA,NA,NA,"01/11/2018 10:00",1541063103
"Barcelona - Vall Hebron","Bona","IN","01","08019054",2.148,41.4261,"9h","Bona","14 µg/m³","9h","Bona","51 µg/m³",NA,NA,NA,"01/11/2018 10:00",1541063103
"Barcelona - Palau Reial","Bona","IZ","01","08019057",2.1151,41.3875,"9h","Bona","21 µg/m³","9h","Bona","15 µg/m³","10h","Bona","11 µg/m³","01/11/2018 10:00",1541063103
"Barcelona - Poblenou","Bona","I2","01","08019004",2.2045,41.4039,NA,NA,NA,"9h","Bona","37 µg/m³","10h","Bona","17 µg/m³","01/11/2018 10:00",1541063103
"Barcelona - Observ Fabra","Bona","OF","01","08019058",2.1239,41.4183,"9h","Bona","69 µg/m³","9h","Bona","3 µg/m³","10h","Bona","6 µg/m³","01/11/2018 10:00",1541063103
"Barcelona - Sants","Bona","ID","01","08019042",2.1331,41.3788,NA,NA,NA,"10h","Bona","23 µg/m³",NA,NA,NA,"01/11/2018 11:00",1541066703
"Barcelona - Eixample","Bona","IH","01","08019043",2.1538,41.3853,"10h","Bona","12 µg/m³","10h","Bona","64 µg/m³","10h","Bona","19 µg/m³","01/11/2018 11:00",1541066703
"Barcelona - Gràcia","Bona","IJ","01","08019044",2.1534,41.3987,"10h","Bona","32 µg/m³","10h","Bona","33 µg/m³",NA,NA,NA,"01/11/2018 11:00",1541066703
"Barcelona - Ciutadella","Bona","IL","01","08019050",2.1874,41.3864,"10h","Bona","34 µg/m³","10h","Bona","25 µg/m³",NA,NA,NA,"01/11/2018 11:00",1541066703
"Barcelona - Vall Hebron","Bona","IN","01","08019054",2.148,41.4261,"10h","Bona","44 µg/m³","10h","Bona","15 µg/m³",NA,NA,NA,"01/11/2018 11:00",1541066703
"Barcelona - Palau Reial","Bona","IZ","01","08019057",2.1151,41.3875,"10h","Bona","33 µg/m³","10h","Bona","11 µg/m³","10h","Bona","12 µg/m³","01/11/2018 11:00",1541066703
"Barcelona - Poblenou","Bona","I2","01","08019004",2.2045,41.4039,NA,NA,NA,"10h","Bona","28 µg/m³","10h","Bona","16 µg/m³","01/11/2018 11:00",1541066703
"Barcelona - Observ Fabra","Bona","OF","01","08019058",2.1239,41.4183,"10h","Bona","64 µg/m³","10h","Bona","7 µg/m³","11h","Bona","6 µg/m³","01/11/2018 11:00",1541066703
"Barcelona - Sants","Bona","ID","01","08019042",2.1331,41.3788,NA,NA,NA,"11h","Bona","31 µg/m³",NA,NA,NA,"01/11/2018 12:00",1541070303
"Barcelona - Eixample","Bona","IH","01","08019043",2.1538,41.3853,"11h","Bona","22 µg/m³","11h","Bona","50 µg/m³","12h","Bona","18 µg/m³","01/11/2018 12:00",1541070303
"Barcelona - Gràcia","Bona","IJ","01","08019044",2.1534,41.3987,"11h","Bona","30 µg/m³","11h","Bona","37 µg/m³",NA,NA,NA,"01/11/2018 12:00",1541070303
"Barcelona - Ciutadella","Bona","IL","01","08019050",2.1874,41.3864,"11h","Bona","35 µg/m³","11h","Bona","21 µg/m³",NA,NA,NA,"01/11/2018 12:00",1541070303
"Barcelona - Vall Hebron","Bona","IN","01","08019054",2.148,41.4261,"11h","Bona","47 µg/m³","11h","Bona","13 µg/m³",NA,NA,NA,"01/11/2018 12:00",1541070303
"Barcelona - Palau Reial","Bona","IZ","01","08019057",2.1151,41.3875,"11h","Bona","38 µg/m³","11h","Bona","19 µg/m³","12h","Bona","11 µg/m³","01/11/2018 12:00",1541070303
"Barcelona - Poblenou","Bona","I2","01","08019004",2.2045,41.4039,NA,NA,NA,"11h","Bona","29 µg/m³","12h","Bona","15 µg/m³","01/11/2018 12:00",1541070303
"Barcelona - Observ Fabra","Bona","OF","01","08019058",2.1239,41.4183,"11h","Bona","68 µg/m³","11h","Bona","3 µg/m³","12h","Bona","7 µg/m³","01/11/2018 12:00",1541070303
"Barcelona - Sants","Bona","ID","01","08019042",2.1331,41.3788,NA,NA,NA,"12h","Bona","14 µg/m³",NA,NA,NA,"01/11/2018 13:00",1541073903
"Barcelona - Eixample","Bona","IH","01","08019043",2.1538,41.3853,"12h","Bona","29 µg/m³","12h","Bona","35 µg/m³","13h","Bona","18 µg/m³","01/11/2018 13:00",1541073903
"Barcelona - Gràcia","Bona","IJ","01","08019044",2.1534,41.3987,"12h","Bona","46 µg/m³","12h","Bona","21 µg/m³",NA,NA,NA,"01/11/2018 13:00",1541073903
"Barcelona - Ciutadella","Bona","IL","01","08019050",2.1874,41.3864,"12h","Bona","41 µg/m³","12h","Bona","16 µg/m³",NA,NA,NA,"01/11/2018 13:00",1541073903
"Barcelona - Vall Hebron","Bona","IN","01","08019054",2.148,41.4261,"12h","Bona","47 µg/m³","12h","Bona","15 µg/m³",NA,NA,NA,"01/11/2018 13:00",1541073903
"Barcelona - Palau Reial","Bona","IZ","01","08019057",2.1151,41.3875,"12h","Bona","44 µg/m³","12h","Bona","5 µg/m³","13h","Bona","11 µg/m³","01/11/2018 13:00",1541073903
"Barcelona - Poblenou","Bona","I2","01","08019004",2.2045,41.4039,NA,NA,NA,"12h","Bona","20 µg/m³","13h","Bona","14 µg/m³","01/11/2018 13:00",1541073903
"Barcelona - Observ Fabra","Bona","OF","01","08019058",2.1239,41.4183,"12h","Bona","62 µg/m³","12h","Bona","5 µg/m³","13h","Bona","6 µg/m³","01/11/2018 13:00",1541073903
"Barcelona - Sants","Bona","ID","01","08019042",2.1331,41.3788,NA,NA,NA,"13h","Bona","9 µg/m³",NA,NA,NA,"01/11/2018 14:00",1541077503
"Barcelona - Eixample","Bona","IH","01","08019043",2.1538,41.3853,"13h","Bona","38 µg/m³","13h","Bona","26 µg/m³","14h","Bona","17 µg/m³","01/11/2018 14:00",1541077503
"Barcelona - Gràcia","Bona","IJ","01","08019044",2.1534,41.3987,"13h","Bona","54 µg/m³","13h","Bona","14 µg/m³",NA,NA,NA,"01/11/2018 14:00",1541077503
"Barcelona - Ciutadella","Bona","IL","01","08019050",2.1874,41.3864,"13h","Bona","53 µg/m³","13h","Bona","11 µg/m³",NA,NA,NA,"01/11/2018 14:00",1541077503
"Barcelona - Vall Hebron","Bona","IN","01","08019054",2.148,41.4261,"13h","Bona","62 µg/m³","13h","Bona","10 µg/m³",NA,NA,NA,"01/11/2018 14:00",1541077503
"Barcelona - Palau Reial","Bona","IZ","01","08019057",2.1151,41.3875,"13h","Bona","54 µg/m³","13h","Bona","1 µg/m³","13h","Bona","10 µg/m³","01/11/2018 14:00",1541077503
"Barcelona - Poblenou","Bona","I2","01","08019004",2.2045,41.4039,NA,NA,NA,"13h","Bona","14 µg/m³","13h","Bona","14 µg/m³","01/11/2018 14:00",1541077503
"Barcelona - Observ Fabra","Bona","OF","01","08019058",2.1239,41.4183,"13h","Bona","69 µg/m³","13h","Bona","3 µg/m³","14h","Bona","6 µg/m³","01/11/2018 14:00",1541077503
"Barcelona - Sants","Bona","ID","01","08019042",2.1331,41.3788,NA,NA,NA,"14h","Bona","10 µg/m³",NA,NA,NA,"01/11/2018 15:00",1541081103
"Barcelona - Eixample","Bona","IH","01","08019043",2.1538,41.3853,"14h","Bona","39 µg/m³","14h","Bona","33 µg/m³","15h","Bona","16 µg/m³","01/11/2018 15:00",1541081103
"Barcelona - Gràcia","Bona","IJ","01","08019044",2.1534,41.3987,"14h","Bona","54 µg/m³","14h","Bona","14 µg/m³",NA,NA,NA,"01/11/2018 15:00",1541081103
"Barcelona - Ciutadella","Bona","IL","01","08019050",2.1874,41.3864,"14h","Bona","58 µg/m³","14h","Bona","10 µg/m³",NA,NA,NA,"01/11/2018 15:00",1541081103
"Barcelona - Vall Hebron","Bona","IN","01","08019054",2.148,41.4261,"14h","Bona","63 µg/m³","14h","Bona","9 µg/m³",NA,NA,NA,"01/11/2018 15:00",1541081103
"Barcelona - Palau Reial","Bona","IZ","01","08019057",2.1151,41.3875,"14h","Bona","54 µg/m³","14h","Bona","2 µg/m³","15h","Bona","10 µg/m³","01/11/2018 15:00",1541081103
"Barcelona - Poblenou","Bona","I2","01","08019004",2.2045,41.4039,NA,NA,NA,"14h","Bona","17 µg/m³","15h","Bona","11 µg/m³","01/11/2018 15:00",1541081103
"Barcelona - Observ Fabra","Bona","OF","01","08019058",2.1239,41.4183,"14h","Bona","69 µg/m³","14h","Bona","4 µg/m³","15h","Bona","6 µg/m³","01/11/2018 15:00",1541081103
"Barcelona - Sants","Bona","ID","01","08019042",2.1331,41.3788,NA,NA,NA,"15h","Bona","9 µg/m³",NA,NA,NA,"01/11/2018 16:00",1541084703
"Barcelona - Eixample","Bona","IH","01","08019043",2.1538,41.3853,"15h","Bona","39 µg/m³","15h","Bona","31 µg/m³","16h","Bona","16 µg/m³","01/11/2018 16:00",1541084703
"Barcelona - Gràcia","Bona","IJ","01","08019044",2.1534,41.3987,"15h","Bona","55 µg/m³","15h","Bona","12 µg/m³",NA,NA,NA,"01/11/2018 16:00",1541084703
"Barcelona - Ciutadella","Bona","IL","01","08019050",2.1874,41.3864,"15h","Bona","61 µg/m³","15h","Bona","11 µg/m³",NA,NA,NA,"01/11/2018 16:00",1541084703
"Barcelona - Vall Hebron","Bona","IN","01","08019054",2.148,41.4261,"15h","Bona","63 µg/m³","15h","Bona","8 µg/m³",NA,NA,NA,"01/11/2018 16:00",1541084703
"Barcelona - Palau Reial","Bona","IZ","01","08019057",2.1151,41.3875,"15h","Bona","56 µg/m³","15h","Bona","2 µg/m³","16h","Bona","10 µg/m³","01/11/2018 16:00",1541084703
"Barcelona - Poblenou","Bona","I2","01","08019004",2.2045,41.4039,NA,NA,NA,"15h","Bona","14 µg/m³","16h","Bona","10 µg/m³","01/11/2018 16:00",1541084703
"Barcelona - Observ Fabra","Bona","OF","01","08019058",2.1239,41.4183,"15h","Bona","69 µg/m³","15h","Bona","4 µg/m³","16h","Bona","6 µg/m³","01/11/2018 16:00",1541084703
