"nom_cabina","qualitat_aire","codi_dtes","zqa","codi_eoi","longitud","latitud","hora_o3","qualitat_o3","valor_o3","hora_no2","qualitat_no2","valor_no2","hora_pm10","qualitat_pm10","valor_pm10","generat","dateTime"
"Barcelona - Sants","--","ID","01","08019042",2.1331,41.3788,NA,NA,NA,NA,NA,NA,NA,NA,NA,"01/02/2019 0:00",1548975902
"Barcelona - Eixample","--","IH","01","08019043",2.1538,41.3853,NA,NA,NA,NA,NA,NA,"21h","--","--","01/02/2019 0:00",1548975902
"Barcelona - Gràcia","--","IJ","01","08019044",2.1534,41.3987,NA,NA,NA,NA,NA,NA,"21h","--","--","01/02/2019 0:00",1548975902
"Barcelona - Ciutadella","--","IL","01","08019050",2.1874,41.3864,NA,NA,NA,NA,NA,NA,NA,NA,NA,"01/02/2019 0:00",1548975902
"Barcelona - Vall Hebron","--","IN","01","08019054",2.148,41.4261,NA,NA,NA,NA,NA,NA,"21h","--","--","01/02/2019 0:00",1548975902
"Barcelona - Palau Reial","--","IZ","01","08019057",2.1151,41.3875,NA,NA,NA,NA,NA,NA,"21h","--","--","01/02/2019 0:00",1548975902
"Barcelona - Poblenou","--","I2","01","08019004",2.2045,41.4039,NA,NA,NA,NA,NA,NA,"21h","--","--","01/02/2019 0:00",1548975902
"Barcelona - Observ Fabra","--","OF","01","08019058",2.1239,41.4183,NA,NA,NA,NA,NA,NA,"21h","--","--","01/02/2019 0:00",1548975902
"Barcelona - Sants","Bona","ID","01","08019042",2.1331,41.3788,NA,NA,NA,"0h","Bona","57 µg/m³",NA,NA,NA,"01/02/2019 1:00",1548979502
"Barcelona - Eixample","Bona","IH","01","08019043",2.1538,41.3853,"0h","Bona","32 µg/m³","0h","Bona","45 µg/m³","22h","--","--","01/02/2019 1:00",1548979502
"Barcelona - Gràcia","Bona","IJ","01","08019044",2.1534,41.3987,"0h","Bona","12 µg/m³","0h","Bona","73 µg/m³","22h","--","--","01/02/2019 1:00",1548979502
"Barcelona - Ciutadella","Bona","IL","01","08019050",2.1874,41.3864,"0h","Bona","38 µg/m³","0h","Bona","33 µg/m³",NA,NA,NA,"01/02/2019 1:00",1548979502
"Barcelona - Vall Hebron","Bona","IN","01","08019054",2.148,41.4261,"0h","Bona","39 µg/m³","0h","Bona","34 µg/m³","22h","--","--","01/02/2019 1:00",1548979502
"Barcelona - Palau Reial","Bona","IZ","01","08019057",2.1151,41.3875,"0h","Bona","45 µg/m³","0h","Bona","19 µg/m³","22h","--","--","01/02/2019 1:00",1548979502
"Barcelona - Poblenou","Bona","I2","01","08019004",2.2045,41.4039,NA,NA,NA,"0h","Bona","76 µg/m³","22h","--","--","01/02/2019 1:00",1548979502
"Barcelona - Observ Fabra","Bona","OF","01","08019058",2.1239,41.4183,"0h","Bona","57 µg/m³","0h","Bona","12 µg/m³","22h","--","--","01/02/2019 1:00",1548979502
"Barcelona - Sants","--","ID","01","08019042",2.1331,41.3788,NA,NA,NA,"23h","--","--",NA,NA,NA,"01/02/2019 2:00",1548983102
"Barcelona - Eixample","--","IH","01","08019043",2.1538,41.3853,"23h","--","--","23h","--","--","23h","--","--","01/02/2019 2:00",1548983102
"Barcelona - Gràcia","--","IJ","01","08019044",2.1534,41.3987,"23h","--","--","23h","--","--","23h","--","--","01/02/2019 2:00",1548983102
"Barcelona - Ciutadella","--","IL","01","08019050",2.1874,41.3864,"23h","--","--","23h","--","--",NA,NA,NA,"01/02/2019 2:00",1548983102
"Barcelona - Vall Hebron","--","IN","01","08019054",2.148,41.4261,"23h","--","--","23h","--","--","23h","--","--","01/02/2019 2:00",1548983102
"Barcelona - Palau Reial","--","IZ","01","08019057",2.1151,41.3875,"23h","--","--","23h","--","--","23h","--","--","01/02/2019 2:00",1548983102
"Barcelona - Poblenou","--","I2","01","08019004",2.2045,41.4039,NA,NA,NA,"23h","--","--","23h","--","--","01/02/2019 2:00",1548983102
"Barcelona - Observ Fabra","--","OF","01","08019058",2.1239,41.4183,"23h","--","--","23h","--","--","23h","--","--","01/02/2019 2:00",1548983102
"Barcelona - Sants","--","ID","01","08019042",2.1331,41.3788,NA,NA,NA,"0h","--","--",NA,NA,NA,"01/02/2019 3:00",1548986701
"Barcelona - Eixample","--","IH","01","08019043",2.1538,41.3853,"0h","--","--","0h","--","--","0h","--","--","01/02/2019 3:00",1548986701
"Barcelona - Gràcia","--","IJ","01","08019044",2.1534,41.3987,"0h","--","--","0h","--","--","0h","--","--","01/02/2019 3:00",1548986701
"Barcelona - Ciutadella","--","IL","01","08019050",2.1874,41.3864,"0h","--","--","0h","--","--",NA,NA,NA,"01/02/2019 3:00",1548986701
"Barcelona - Vall Hebron","--","IN","01","08019054",2.148,41.4261,"0h","--","--","0h","--","--","0h","--","--","01/02/2019 3:00",1548986701
"Barcelona - Palau Reial","--","IZ","01","08019057",2.1151,41.3875,"0h","--","--","0h","--","--","0h","--","--","01/02/2019 3:00",1548986701
"Barcelona - Poblenou","--","I2","01","08019004",2.2045,41.4039,NA,NA,NA,"0h","--","--","0h","--","--","01/02/2019 3:00",1548986701
"Barcelona - Observ Fabra","--","OF","01","08019058",2.1239,41.4183,"0h","--","--","0h","--","--","0h","--","--","01/02/2019 3:00",1548986701
"Barcelona - Sants","--","ID","01","08019042",2.1331,41.3788,NA,NA,NA,"1h","--","--",NA,NA,NA,"01/02/2019 4:00",1548990302
"Barcelona - Eixample","--","IH","01","08019043",2.1538,41.3853,"1h","--","--","1h","--","--","1h","--","--","01/02/2019 4:00",1548990302
"Barcelona - Gràcia","--","IJ","01","08019044",2.1534,41.3987,"1h","--","--","1h","--","--","1h","--","--","01/02/2019 4:00",1548990302
"Barcelona - Ciutadella","--","IL","01","08019050",2.1874,41.3864,"1h","--","--","1h","--","--",NA,NA,NA,"01/02/2019 4:00",1548990302
"Barcelona - Vall Hebron","--","IN","01","08019054",2.148,41.4261,"1h","--","--","1h","--","--","1h","--","--","01/02/2019 4:00",1548990302
"Barcelona - Palau Reial","--","IZ","01","08019057",2.1151,41.3875,"1h","--","--","1h","--","--","1h","--","--","01/02/2019 4:00",1548990302
