"nom_cabina","qualitat_aire","codi_dtes","zqa","codi_eoi","longitud","latitud","hora_o3","qualitat_o3","valor_o3","hora_no2","qualitat_no2","valor_no2","hora_pm10","qualitat_pm10","valor_pm10","generat","dateTime"
"Barcelona - Sants","--","ID","01","08019042",2.1331,41.3788,NA,NA,NA,NA,NA,NA,NA,NA,NA,"01/02/2019 14:00",1551395102
"Barcelona - Eixample","--","IH","01","08019043",2.1538,41.3853,NA,NA,NA,NA,NA,NA,"12h","--","--","01/02/2019 14:00",1551395102
"Barcelona - Gràcia","--","IJ","01","08019044",2.1534,41.3987,NA,NA,NA,NA,NA,NA,"12h","--","--","01/02/2019 14:00",1551395102
"Barcelona - Ciutadella","--","IL","01","08019050",2.1874,41.3864,NA,NA,NA,NA,NA,NA,NA,NA,NA,"01/02/2019 14:00",1551395102
"Barcelona - Vall Hebron","--","IN","01","08019054",2.148,41.4261,NA,NA,NA,NA,NA,NA,"12h","--","--","01/02/2019 14:00",1551395102
"Barcelona - Palau Reial","--","IZ","01","08019057",2.1151,41.3875,NA,NA,NA,NA,NA,NA,"12h","--","--","01/02/2019 14:00",1551395102
"Barcelona - Poblenou","--","I2","01","08019004",2.2045,41.4039,NA,NA,NA,NA,NA,NA,"12h","--","--","01/02/2019 14:00",1551395102
"Barcelona - Observ Fabra","--","OF","01","08019058",2.1239,41.4183,NA,NA,NA,NA,NA,NA,"12h","--","--","01/02/2019 14:00",1551395102
"Barcelona - Sants","--","ID","01","08019042",2.1331,41.3788,NA,NA,NA,NA,NA,NA,NA,NA,NA,"01/02/2019 14:00",1551398701
"Barcelona - Eixample","--","IH","01","08019043",2.1538,41.3853,NA,NA,NA,NA,NA,NA,"12h","--","--","01/02/2019 14:00",1551398701
"Barcelona - Gràcia","--","IJ","01","08019044",2.1534,41.3987,NA,NA,NA,NA,NA,NA,"12h","--","--","01/02/2019 14:00",1551398701
"Barcelona - Ciutadella","--","IL","01","08019050",2.1874,41.3864,NA,NA,NA,NA,NA,NA,NA,NA,NA,"01/02/2019 14:00",1551398701
"Barcelona - Vall Hebron","--","IN","01","08019054",2.148,41.4261,NA,NA,NA,NA,NA,NA,"12h","--","--","01/02/2019 14:00",1551398701
"Barcelona - Palau Reial","--","IZ","01","08019057",2.1151,41.3875,NA,NA,NA,NA,NA,NA,"12h","--","--","01/02/2019 14:00",1551398701
"Barcelona - Poblenou","--","I2","01","08019004",2.2045,41.4039,NA,NA,NA,NA,NA,NA,"12h","--","--","01/02/2019 14:00",1551398701
"Barcelona - Observ Fabra","--","OF","01","08019058",2.1239,41.4183,NA,NA,NA,NA,NA,NA,"12h","--","--","01/02/2019 14:00",1551398701
"Barcelona - Sants","--","ID","01","08019042",2.1331,41.3788,NA,NA,NA,NA,NA,NA,NA,NA,NA,"01/02/2019 14:00",1551402302
"Barcelona - Eixample","--","IH","01","08019043",2.1538,41.3853,NA,NA,NA,NA,NA,NA,"12h","--","--","01/02/2019 14:00",1551402302
"Barcelona - Gràcia","--","IJ","01","08019044",2.1534,41.3987,NA,NA,NA,NA,NA,NA,"12h","--","--","01/02/2019 14:00",1551402302
"Barcelona - Ciutadella","--","IL","01","08019050",2.1874,41.3864,NA,NA,NA,NA,NA,NA,NA,NA,NA,"01/02/2019 14:00",1551402302
"Barcelona - Vall Hebron","--","IN","01","08019054",2.148,41.4261,NA,NA,NA,NA,NA,NA,"12h","--","--","01/02/2019 14:00",1551402302
"Barcelona - Palau Reial","--","IZ","01","08019057",2.1151,41.3875,NA,NA,NA,NA,NA,NA,"12h","--","--","01/02/2019 14:00",1551402302
"Barcelona - Poblenou","--","I2","01","08019004",2.2045,41.4039,NA,NA,NA,NA,NA,NA,"12h","--","--","01/02/2019 14:00",1551402302
"Barcelona - Observ Fabra","--","OF","01","08019058",2.1239,41.4183,NA,NA,NA,NA,NA,NA,"12h","--","--","01/02/2019 14:00",1551402302
"Barcelona - Sants","--","ID","01","08019042",2.1331,41.3788,NA,NA,NA,NA,NA,NA,NA,NA,NA,"01/02/2019 14:00",1551405902
"Barcelona - Eixample","--","IH","01","08019043",2.1538,41.3853,NA,NA,NA,NA,NA,NA,"12h","--","--","01/02/2019 14:00",1551405902
"Barcelona - Gràcia","--","IJ","01","08019044",2.1534,41.3987,NA,NA,NA,NA,NA,NA,"12h","--","--","01/02/2019 14:00",1551405902
"Barcelona - Ciutadella","--","IL","01","08019050",2.1874,41.3864,NA,NA,NA,NA,NA,NA,NA,NA,NA,"01/02/2019 14:00",1551405902
"Barcelona - Vall Hebron","--","IN","01","08019054",2.148,41.4261,NA,NA,NA,NA,NA,NA,"12h","--","--","01/02/2019 14:00",1551405902
"Barcelona - Palau Reial","--","IZ","01","08019057",2.1151,41.3875,NA,NA,NA,NA,NA,NA,"12h","--","--","01/02/2019 14:00",1551405902
"Barcelona - Poblenou","--","I2","01","08019004",2.2045,41.4039,NA,NA,NA,NA,NA,NA,"12h","--","--","01/02/2019 14:00",1551405902
"Barcelona - Observ Fabra","--","OF","01","08019058",2.1239,41.4183,NA,NA,NA,NA,NA,NA,"12h","--","--","01/02/2019 14:00",1551405902
"Barcelona - Sants","--","ID","01","08019042",2.1331,41.3788,NA,NA,NA,NA,NA,NA,NA,NA,NA,"01/02/2019 14:00",1551409502
"Barcelona - Eixample","--","IH","01","08019043",2.1538,41.3853,NA,NA,NA,NA,NA,NA,"12h","--","--","01/02/2019 14:00",1551409502
"Barcelona - Gràcia","--","IJ","01","08019044",2.1534,41.3987,NA,NA,NA,NA,NA,NA,"12h","--","--","01/02/2019 14:00",1551409502
"Barcelona - Ciutadella","--","IL","01","08019050",2.1874,41.3864,NA,NA,NA,NA,NA,NA,NA,NA,NA,"01/02/2019 14:00",1551409502
"Barcelona - Vall Hebron","--","IN","01","08019054",2.148,41.4261,NA,NA,NA,NA,NA,NA,"12h","--","--","01/02/2019 14:00",1551409502
"Barcelona - Palau Reial","--","IZ","01","08019057",2.1151,41.3875,NA,NA,NA,NA,NA,NA,"12h","--","--","01/02/2019 14:00",1551409502
"Barcelona - Poblenou","--","I2","01","08019004",2.2045,41.4039,NA,NA,NA,NA,NA,NA,"12h","--","--","01/02/2019 14:00",1551409502
"Barcelona - Observ Fabra","--","OF","01","08019058",2.1239,41.4183,NA,NA,NA,NA,NA,NA,"12h","--","--","01/02/2019 14:00",1551409502
"Barcelona - Sants","--","ID","01","08019042",2.1331,41.3788,NA,NA,NA,NA,NA,NA,NA,NA,NA,"01/02/2019 14:00",1551413102
"Barcelona - Eixample","--","IH","01","08019043",2.1538,41.3853,NA,NA,NA,NA,NA,NA,"12h","--","--","01/02/2019 14:00",1551413102
"Barcelona - Gràcia","--","IJ","01","08019044",2.1534,41.3987,NA,NA,NA,NA,NA,NA,"12h","--","--","01/02/2019 14:00",1551413102
"Barcelona - Ciutadella","--","IL","01","08019050",2.1874,41.3864,NA,NA,NA,NA,NA,NA,NA,NA,NA,"01/02/2019 14:00",1551413102
"Barcelona - Vall Hebron","--","IN","01","08019054",2.148,41.4261,NA,NA,NA,NA,NA,NA,"12h","--","--","01/02/2019 14:00",1551413102
"Barcelona - Palau Reial","--","IZ","01","08019057",2.1151,41.3875,NA,NA,NA,NA,NA,NA,"12h","--","--","01/02/2019 14:00",1551413102
"Barcelona - Poblenou","--","I2","01","08019004",2.2045,41.4039,NA,NA,NA,NA,NA,NA,"12h","--","--","01/02/2019 14:00",1551413102
"Barcelona - Observ Fabra","--","OF","01","08019058",2.1239,41.4183,NA,NA,NA,NA,NA,NA,"12h","--","--","01/02/2019 14:00",1551413102
"Barcelona - Sants","--","ID","01","08019042",2.1331,41.3788,NA,NA,NA,NA,NA,NA,NA,NA,NA,"01/02/2019 14:00",1551416702
"Barcelona - Eixample","--","IH","01","08019043",2.1538,41.3853,NA,NA,NA,NA,NA,NA,"12h","--","--","01/02/2019 14:00",1551416702
"Barcelona - Gràcia","--","IJ","01","08019044",2.1534,41.3987,NA,NA,NA,NA,NA,NA,"12h","--","--","01/02/2019 14:00",1551416702
"Barcelona - Ciutadella","--","IL","01","08019050",2.1874,41.3864,NA,NA,NA,NA,NA,NA,NA,NA,NA,"01/02/2019 14:00",1551416702
"Barcelona - Vall Hebron","--","IN","01","08019054",2.148,41.4261,NA,NA,NA,NA,NA,NA,"12h","--","--","01/02/2019 14:00",1551416702
"Barcelona - Palau Reial","--","IZ","01","08019057",2.1151,41.3875,NA,NA,NA,NA,NA,NA,"12h","--","--","01/02/2019 14:00",1551416702
"Barcelona - Poblenou","--","I2","01","08019004",2.2045,41.4039,NA,NA,NA,NA,NA,NA,"12h","--","--","01/02/2019 14:00",1551416702
"Barcelona - Observ Fabra","--","OF","01","08019058",2.1239,41.4183,NA,NA,NA,NA,NA,NA,"12h","--","--","01/02/2019 14:00",1551416702
"Barcelona - Sants","--","ID","01","08019042",2.1331,41.3788,NA,NA,NA,NA,NA,NA,NA,NA,NA,"01/02/2019 14:00",1551420301
"Barcelona - Eixample","--","IH","01","08019043",2.1538,41.3853,NA,NA,NA,NA,NA,NA,"12h","--","--","01/02/2019 14:00",1551420301
"Barcelona - Gràcia","--","IJ","01","08019044",2.1534,41.3987,NA,NA,NA,NA,NA,NA,"12h","--","--","01/02/2019 14:00",1551420301
"Barcelona - Ciutadella","--","IL","01","08019050",2.1874,41.3864,NA,NA,NA,NA,NA,NA,NA,NA,NA,"01/02/2019 14:00",1551420301
"Barcelona - Vall Hebron","--","IN","01","08019054",2.148,41.4261,NA,NA,NA,NA,NA,NA,"12h","--","--","01/02/2019 14:00",1551420301
"Barcelona - Palau Reial","--","IZ","01","08019057",2.1151,41.3875,NA,NA,NA,NA,NA,NA,"12h","--","--","01/02/2019 14:00",1551420301
"Barcelona - Poblenou","--","I2","01","08019004",2.2045,41.4039,NA,NA,NA,NA,NA,NA,"12h","--","--","01/02/2019 14:00",1551420301
"Barcelona - Observ Fabra","--","OF","01","08019058",2.1239,41.4183,NA,NA,NA,NA,NA,NA,"12h","--","--","01/02/2019 14:00",1551420301
"Barcelona - Sants","--","ID","01","08019042",2.1331,41.3788,NA,NA,NA,NA,NA,NA,NA,NA,NA,"01/02/2019 14:00",1551423902
"Barcelona - Eixample","--","IH","01","08019043",2.1538,41.3853,NA,NA,NA,NA,NA,NA,"12h","--","--","01/02/2019 14:00",1551423902
"Barcelona - Gràcia","--","IJ","01","08019044",2.1534,41.3987,NA,NA,NA,NA,NA,NA,"12h","--","--","01/02/2019 14:00",1551423902
"Barcelona - Ciutadella","--","IL","01","08019050",2.1874,41.3864,NA,NA,NA,NA,NA,NA,NA,NA,NA,"01/02/2019 14:00",1551423902
"Barcelona - Vall Hebron","--","IN","01","08019054",2.148,41.4261,NA,NA,NA,NA,NA,NA,"12h","--","--","01/02/2019 14:00",1551423902
"Barcelona - Palau Reial","--","IZ","01","08019057",2.1151,41.3875,NA,NA,NA,NA,NA,NA,"12h","--","--","01/02/2019 14:00",1551423902
"Barcelona - Poblenou","--","I2","01","08019004",2.2045,41.4039,NA,NA,NA,NA,NA,NA,"12h","--","--","01/02/2019 14:00",1551423902
"Barcelona - Observ Fabra","--","OF","01","08019058",2.1239,41.4183,NA,NA,NA,NA,NA,NA,"12h","--","--","01/02/2019 14:00",1551423902
"Barcelona - Sants","--","ID","01","08019042",2.1331,41.3788,NA,NA,NA,NA,NA,NA,NA,NA,NA,"01/02/2019 14:00",1551427502
"Barcelona - Eixample","--","IH","01","08019043",2.1538,41.3853,NA,NA,NA,NA,NA,NA,"12h","--","--","01/02/2019 14:00",1551427502
"Barcelona - Gràcia","--","IJ","01","08019044",2.1534,41.3987,NA,NA,NA,NA,NA,NA,"12h","--","--","01/02/2019 14:00",1551427502
"Barcelona - Ciutadella","--","IL","01","08019050",2.1874,41.3864,NA,NA,NA,NA,NA,NA,NA,NA,NA,"01/02/2019 14:00",1551427502
"Barcelona - Vall Hebron","--","IN","01","08019054",2.148,41.4261,NA,NA,NA,NA,NA,NA,"12h","--","--","01/02/2019 14:00",1551427502
"Barcelona - Palau Reial","--","IZ","01","08019057",2.1151,41.3875,NA,NA,NA,NA,NA,NA,"12h","--","--","01/02/2019 14:00",1551427502
"Barcelona - Poblenou","--","I2","01","08019004",2.2045,41.4039,NA,NA,NA,NA,NA,NA,"12h","--","--","01/02/2019 14:00",1551427502
"Barcelona - Observ Fabra","--","OF","01","08019058",2.1239,41.4183,NA,NA,NA,NA,NA,NA,"12h","--","--","01/02/2019 14:00",1551427502
"Barcelona - Sants","--","ID","01","08019042",2.1331,41.3788,NA,NA,NA,NA,NA,NA,NA,NA,NA,"01/02/2019 14:00",1551431102
"Barcelona - Eixample","--","IH","01","08019043",2.1538,41.3853,NA,NA,NA,NA,NA,NA,"12h","--","--","01/02/2019 14:00",1551431102
"Barcelona - Gràcia","--","IJ","01","08019044",2.1534,41.3987,NA,NA,NA,NA,NA,NA,"12h","--","--","01/02/2019 14:00",1551431102
"Barcelona - Ciutadella","--","IL","01","08019050",2.1874,41.3864,NA,NA,NA,NA,NA,NA,NA,NA,NA,"01/02/2019 14:00",1551431102
"Barcelona - Vall Hebron","--","IN","01","08019054",2.148,41.4261,NA,NA,NA,NA,NA,NA,"12h","--","--","01/02/2019 14:00",1551431102
"Barcelona - Palau Reial","--","IZ","01","08019057",2.1151,41.3875,NA,NA,NA,NA,NA,NA,"12h","--","--","01/02/2019 14:00",1551431102
"Barcelona - Poblenou","--","I2","01","08019004",2.2045,41.4039,NA,NA,NA,NA,NA,NA,"12h","--","--","01/02/2019 14:00",1551431102
"Barcelona - Observ Fabra","--","OF","01","08019058",2.1239,41.4183,NA,NA,NA,NA,NA,NA,"12h","--","--","01/02/2019 14:00",1551431102
"Barcelona - Sants","--","ID","01","08019042",2.1331,41.3788,NA,NA,NA,NA,NA,NA,NA,NA,NA,"01/02/2019 14:00",1551434701
"Barcelona - Eixample","--","IH","01","08019043",2.1538,41.3853,NA,NA,NA,NA,NA,NA,"12h","--","--","01/02/2019 14:00",1551434701
"Barcelona - Gràcia","--","IJ","01","08019044",2.1534,41.3987,NA,NA,NA,NA,NA,NA,"12h","--","--","01/02/2019 14:00",1551434701
"Barcelona - Ciutadella","--","IL","01","08019050",2.1874,41.3864,NA,NA,NA,NA,NA,NA,NA,NA,NA,"01/02/2019 14:00",1551434701
"Barcelona - Vall Hebron","--","IN","01","08019054",2.148,41.4261,NA,NA,NA,NA,NA,NA,"12h","--","--","01/02/2019 14:00",1551434701
"Barcelona - Palau Reial","--","IZ","01","08019057",2.1151,41.3875,NA,NA,NA,NA,NA,NA,"12h","--","--","01/02/2019 14:00",1551434701
"Barcelona - Poblenou","--","I2","01","08019004",2.2045,41.4039,NA,NA,NA,NA,NA,NA,"12h","--","--","01/02/2019 14:00",1551434701
"Barcelona - Observ Fabra","--","OF","01","08019058",2.1239,41.4183,NA,NA,NA,NA,NA,NA,"12h","--","--","01/02/2019 14:00",1551434701
"Barcelona - Sants","--","ID","01","08019042",2.1331,41.3788,NA,NA,NA,NA,NA,NA,NA,NA,NA,"01/02/2019 14:00",1551438301
"Barcelona - Eixample","--","IH","01","08019043",2.1538,41.3853,NA,NA,NA,NA,NA,NA,"12h","--","--","01/02/2019 14:00",1551438301
