CODI_PROVINCIA;PROVINCIA;CODI_MUNICIPI;MUNICIPI;ESTACIO;CODI_CONTAMINANT;ANY;MES;DIA;H01;V01;H02;V02;H03;V03;H04;V04;H05;V05;H06;V06;H07;V07;H08;V08;H09;V09;H10;V10;H11;V11;H12;V12;H13;V13;H14;V14;H15;V15;H16;V16;H17;V17;H18;V18;H19;V19;H20;V20;H21;V21;H22;V22;H23;V23;H24;V24
08;Barcelona;019;Barcelona;4;7;2019;6;1;7;V;15;V;5;V;28;V;14;V;7;V;9;V;12;V;17;V;32;V;15;V;14;V;17;V;15;V;8;V;5;V;6;V;6;V;5;V;4;V;4;V;1;V;3;V;1;V
08;Barcelona;019;Barcelona;4;7;2019;6;2;1;V;2;V;2;V;3;V;3;V;1;V;2;V;24;V;11;V;11;V;13;V;16;V;12;V;13;V;7;V;7;V;4;V;6;V;5;V;4;V;3;V;1;V;1;V;2;V
08;Barcelona;019;Barcelona;4;7;2019;6;3;2;V;9;V;13;V;3;V;3;V;8;V;19;V;15;V;23;V;22;V;22;V;NA;N;17;V;16;V;13;V;11;V;16;V;12;V;15;V;11;V;6;V;3;V;3;V;2;V
08;Barcelona;019;Barcelona;4;7;2019;6;4;2;V;2;V;5;V;4;V;4;V;7;V;37;V;38;V;87;V;56;V;13;V;8;V;8;V;5;V;4;V;4;V;6;V;4;V;4;V;4;V;2;V;1;V;1;V;1;V
08;Barcelona;019;Barcelona;4;7;2019;6;5;1;V;2;V;6;V;5;V;2;V;3;V;7;V;2;V;3;V;4;V;3;V;3;V;3;V;4;V;3;V;7;V;4;V;4;V;4;V;3;V;2;V;1;V;2;V;1;V
08;Barcelona;019;Barcelona;4;7;2019;6;6;1;V;1;V;1;V;1;V;1;V;1;V;2;V;2;V;7;V;8;V;8;V;5;V;6;V;3;V;3;V;4;V;4;V;4;V;5;V;4;V;2;V;2;V;2;V;1;V
08;Barcelona;019;Barcelona;4;7;2019;6;7;1;V;1;V;1;V;4;V;1;V;2;V;5;V;4;V;5;V;13;V;10;V;11;V;9;V;8;V;11;V;14;V;15;V;19;V;85;V;27;V;2;V;2;V;2;V;1;V
08;Barcelona;019;Barcelona;4;7;2019;6;8;2;V;1;V;1;V;1;V;1;V;1;V;3;V;4;V;6;V;6;V;4;V;3;V;3;V;3;V;4;V;2;V;2;V;2;V;2;V;2;V;2;V;1;V;2;V;1;V
08;Barcelona;019;Barcelona;4;7;2019;6;9;1;V;2;V;3;V;2;V;1;V;1;V;1;V;3;V;3;V;2;V;3;V;4;V;2;V;3;V;2;V;2;V;1;V;2;V;2;V;2;V;2;V;2;V;2;V;3;V
08;Barcelona;019;Barcelona;4;7;2019;6;10;6;V;5;V;22;V;9;V;6;V;3;V;3;V;9;V;6;V;4;V;3;V;8;V;7;V;9;V;11;V;7;V;6;V;4;V;5;V;7;V;4;V;3;V;2;V;3;V
08;Barcelona;019;Barcelona;4;7;2019;6;11;1;V;1;V;3;V;1;V;1;V;1;V;3;V;3;V;5;V;7;V;14;V;21;V;9;V;10;V;6;V;6;V;8;V;8;V;4;V;3;V;2;V;2;V;2;V;1;V
08;Barcelona;019;Barcelona;4;7;2019;6;12;1;V;2;V;3;V;2;V;1;V;2;V;6;V;37;V;36;V;17;V;14;V;9;V;7;V;6;V;5;V;5;V;5;V;5;V;5;V;4;V;4;V;2;V;2;V;2;V
08;Barcelona;019;Barcelona;4;7;2019;6;13;1;V;2;V;12;V;13;V;2;V;5;V;16;V;19;V;28;V;27;V;9;V;5;V;6;V;NA;N;NA;N;NA;N;NA;N;NA;N;NA;N;NA;N;NA;N;NA;N;NA;N;NA;N
08;Barcelona;019;Barcelona;4;7;2019;6;14;1;V;1;V;2;V;1;V;1;V;1;V;6;V;22;V;30;V;5;V;4;V;12;V;18;V;18;V;8;V;10;V;9;V;9;V;8;V;6;V;5;V;4;V;2;V;3;V
08;Barcelona;019;Barcelona;4;7;2019;6;15;2;V;3;V;4;V;4;V;4;V;4;V;8;V;21;V;21;V;10;V;8;V;4;V;4;V;3;V;2;V;3;V;3;V;2;V;3;V;2;V;2;V;1;V;1;V;1;V
08;Barcelona;019;Barcelona;4;7;2019;6;16;2;V;2;V;3;V;4;V;2;V;3;V;3;V;6;V;12;V;7;V;5;V;8;V;9;V;3;V;5;V;7;V;3;V;8;V;7;V;6;V;3;V;3;V;2;V;1;V
08;Barcelona;019;Barcelona;4;7;2019;6;17;1;V;4;V;5;V;3;V;2;V;2;V;13;V;50;V;49;V;29;V;35;V;28;V;7;V;6;V;6;V;10;V;13;V;12;V;12;V;13;V;6;V;2;V;5;V;3;V
08;Barcelona;019;Barcelona;4;7;2019;6;18;4;V;3;V;2;V;2;V;4;V;6;V;37;V;72;V;86;V;121;V;38;V;14;V;13;V;NA;N;7;V;10;V;8;V;7;V;8;V;8;V;8;V;3;V;2;V;5;V
08;Barcelona;019;Barcelona;4;7;2019;6;19;5;V;10;V;9;V;6;V;3;V;3;V;15;V;46;V;15;V;16;V;22;V;9;V;8;V;6;V;4;V;3;V;3;V;4;V;5;V;4;V;3;V;1;V;1;V;1;V
08;Barcelona;019;Barcelona;4;7;2019;6;20;1;V;1;V;1;V;1;V;1;V;5;V;30;V;33;V;12;V;6;V;4;V;3;V;3;V;4;V;2;V;4;V;3;V;4;V;4;V;2;V;3;V;2;V;1;V;1;V
08;Barcelona;019;Barcelona;4;7;2019;6;21;1;V;1;V;1;V;2;V;1;V;1;V;2;V;11;V;13;V;11;V;6;V;5;V;8;V;6;V;4;V;3;V;4;V;2;V;3;V;1;V;2;V;1;V;1;V;1;V
08;Barcelona;019;Barcelona;4;7;2019;6;22;1;V;2;V;3;V;3;V;3;V;3;V;5;V;14;V;13;V;8;V;11;V;11;V;9;V;11;V;7;V;4;V;3;V;4;V;4;V;3;V;3;V;3;V;2;V;1;V
08;Barcelona;019;Barcelona;4;7;2019;6;23;1;V;1;V;1;V;1;V;2;V;2;V;2;V;3;V;5;V;6;V;19;V;9;V;4;V;5;V;5;V;7;V;11;V;32;V;25;V;6;V;4;V;8;V;3;V;5;V
