CODI_PROVINCIA;PROVINCIA;CODI_MUNICIPI;MUNICIPI;ESTACIO;CODI_CONTAMINANT;ANY;MES;DIA;H01;V01;H02;V02;H03;V03;H04;V04;H05;V05;H06;V06;H07;V07;H08;V08;H09;V09;H10;V10;H11;V11;H12;V12;H13;V13;H14;V14;H15;V15;H16;V16;H17;V17;H18;V18;H19;V19;H20;V20;H21;V21;H22;V22;H23;V23;H24;V24
08;Barcelona;019;Barcelona;4;7;2019;7;1;1;V;1;V;1;V;1;V;1;V;2;V;5;V;23;V;23;V;5;V;6;V;3;V;3;V;3;V;NA;N;NA;N;3;V;2;V;2;V;2;V;1;V;1;V;1;V;1;V
08;Barcelona;019;Barcelona;4;7;2019;7;2;2;V;3;V;3;V;2;V;4;V;6;V;6;V;29;V;24;V;13;V;6;V;5;V;6;V;8;V;4;V;5;V;4;V;4;V;6;V;4;V;4;V;2;V;2;V;2;V
08;Barcelona;019;Barcelona;4;7;2019;7;3;2;V;2;V;4;V;6;V;5;V;6;V;15;V;40;V;40;V;27;V;17;V;10;V;15;V;6;V;3;V;3;V;4;V;3;V;3;V;4;V;8;V;18;V;19;V;27;V
08;Barcelona;019;Barcelona;4;7;2019;7;4;7;V;4;V;4;V;2;V;2;V;3;V;6;V;16;V;31;V;20;V;8;V;5;V;4;V;4;V;2;V;2;V;2;V;3;V;3;V;2;V;2;V;2;V;1;V;1;V
08;Barcelona;019;Barcelona;4;7;2019;7;5;1;V;1;V;1;V;2;V;3;V;5;V;11;V;23;V;36;V;43;V;21;V;15;V;6;V;7;V;7;V;7;V;9;V;NA;N;NA;N;NA;N;NA;N;NA;N;NA;N;NA;N
08;Barcelona;019;Barcelona;4;7;2019;7;6;3;V;2;V;3;V;3;V;2;V;3;V;4;V;5;V;9;V;5;V;19;V;6;V;5;V;7;V;5;V;5;V;11;V;12;V;26;V;10;V;6;V;3;V;6;V;7;V
08;Barcelona;019;Barcelona;4;7;2019;7;7;12;V;4;V;2;V;1;V;2;V;10;V;11;V;12;V;10;V;7;V;8;V;9;V;8;V;2;V;1;V;1;V;1;V;2;V;1;V;2;V;2;V;2;V;2;V;2;V
08;Barcelona;019;Barcelona;4;7;2019;7;8;2;V;2;V;4;V;2;V;1;V;3;V;3;V;21;V;48;V;53;V;21;V;27;V;12;V;20;V;9;V;7;V;5;V;6;V;6;V;5;V;6;V;5;V;6;V;9;V
08;Barcelona;019;Barcelona;4;7;2019;7;9;9;V;7;V;3;V;2;V;1;V;1;V;2;V;3;V;4;V;10;V;8;V;6;V;6;V;7;V;6;V;4;V;NA;N;6;V;4;V;7;V;2;V;2;V;2;V;2;V
08;Barcelona;019;Barcelona;4;7;2019;7;10;2;V;2;V;1;V;1;V;2;V;3;V;2;V;5;V;9;V;8;V;9;V;18;V;12;V;8;V;5;V;5;V;6;V;11;V;14;V;7;V;4;V;4;V;3;V;1;V
08;Barcelona;019;Barcelona;4;7;2019;7;11;2;V;3;V;2;V;4;V;3;V;4;V;13;V;39;V;56;V;55;V;24;V;21;V;17;V;12;V;9;V;11;V;10;V;7;V;8;V;8;V;6;V;3;V;5;V;2;V
08;Barcelona;019;Barcelona;4;7;2019;7;12;2;V;2;V;2;V;2;V;3;V;4;V;16;V;46;V;29;V;17;V;10;V;7;V;6;V;5;V;5;V;5;V;7;V;5;V;5;V;4;V;3;V;2;V;1;V;1;V
08;Barcelona;019;Barcelona;4;7;2019;7;13;2;V;1;V;3;V;3;V;3;V;7;V;7;V;14;V;16;V;10;V;10;V;10;V;5;V;3;V;3;V;2;V;5;V;3;V;3;V;2;V;3;V;3;V;2;V;3;V
08;Barcelona;019;Barcelona;4;7;2019;7;14;2;V;2;V;7;V;4;V;3;V;4;V;9;V;9;V;5;V;1;V;1;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;4;V;2;V
08;Barcelona;019;Barcelona;4;7;2019;7;15;2;V;2;V;2;V;1;V;2;V;3;V;5;V;20;V;38;V;34;V;7;V;7;V;5;V;5;V;6;V;5;V;6;V;4;V;6;V;2;V;2;V;1;V;1;V;3;V
08;Barcelona;019;Barcelona;4;7;2019;7;16;2;V;1;V;1;V;1;V;1;V;2;V;5;V;25;V;43;V;35;V;12;V;10;V;6;V;5;V;5;V;5;V;6;V;5;V;7;V;6;V;4;V;2;V;1;V;1;V
08;Barcelona;019;Barcelona;4;7;2019;7;17;1;V;1;V;3;V;1;V;1;V;1;V;1;V;3;V;3;V;4;V;10;V;8;V;9;V;8;V;6;V;5;V;6;V;5;V;5;V;3;V;3;V;2;V;1;V;2;V
08;Barcelona;019;Barcelona;4;7;2019;7;18;1;V;1;V;1;V;1;V;2;V;3;V;7;V;14;V;26;V;34;V;18;V;5;V;4;V;3;V;3;V;3;V;7;V;3;V;5;V;5;V;5;V;4;V;2;V;NA;N
08;Barcelona;019;Barcelona;4;7;2019;7;19;1;V;2;V;3;V;9;V;5;V;12;V;24;V;53;V;41;V;22;V;5;V;5;V;5;V;5;V;5;V;5;V;4;V;6;V;5;V;3;V;3;V;3;V;2;V;NA;N
08;Barcelona;019;Barcelona;4;7;2019;7;20;2;V;3;V;2;V;3;V;2;V;4;V;3;V;11;V;13;V;8;V;6;V;7;V;4;V;3;V;3;V;3;V;3;V;3;V;2;V;2;V;2;V;1;V;1;V;NA;N
08;Barcelona;019;Barcelona;4;7;2019;7;21;NA;N;NA;N;NA;N;NA;N;NA;N;NA;N;NA;N;NA;N;NA;N;NA;N;NA;N;NA;N;NA;N;NA;N;NA;N;NA;N;NA;N;NA;N;NA;N;NA;N;NA;N;NA;N;NA;N;NA;N
08;Barcelona;019;Barcelona;4;7;2019;7;22;1;V;2;V;4;V;4;V;4;V;6;V;20;V;42;V;62;V;48;V;30;V;15;V;7;V;4;V;3;V;NA;N;7;V;3;V;3;V;3;V;1;V;1;V;1;V;1;V
08;Barcelona;019;Barcelona;4;7;2019;7;23;3;V;7;V;11;V;12;V;8;V;4;V;15;V;36;V;53;V;35;V;24;V;11;V;6;V;5;V;5;V;6;V;10;V;9;V;6;V;4;V;2;V;1;V;1;V;1;V
08;Barcelona;019;Barcelona;4;7;2019;7;24;1;V;1;V;1;V;1;V;1;V;6;V;15;V;59;V;68;V;45;V;22;V;7;V;6;V;3;V;3;V;3;V;5;V;5;V;4;V;3;V;2;V;1;V;1;V;1;V
08;Barcelona;019;Barcelona;4;7;2019;7;25;1;V;1;V;1;V;1;V;1;V;4;V;22;V;51;V;61;V;21;V;9;V;7;V;6;V;4;V;3;V;3;V;4;V;3;V;3;V;4;V;2;V;1;V;1;V;2;V
08;Barcelona;019;Barcelona;4;7;2019;7;29;2;V;5;V;5;V;22;V;19;V;14;V;10;V;35;V;51;V;27;V;10;V;8;V;8;V;7;V;6;V;8;V;9;V;7;V;6;V;5;V;5;V;3;V;NA;N;NA;N
08;Barcelona;019;Barcelona;4;7;2019;7;30;2;V;3;V;5;V;6;V;19;V;21;V;20;V;36;V;35;V;22;V;14;V;10;V;8;V;6;V;5;V;6;V;6;V;4;V;6;V;3;V;4;V;2;V;3;V;2;V
08;Barcelona;019;Barcelona;4;8;2019;7;1;10;V;11;V;8;V;4;V;10;V;13;V;39;V;54;V;53;V;18;V;20;V;17;V;14;V;11;V;NA;N;NA;N;11;V;10;V;11;V;12;V;12;V;19;V;20;V;23;V
08;Barcelona;019;Barcelona;4;8;2019;7;2;24;V;50;V;26;V;39;V;55;V;58;V;41;V;66;V;67;V;43;V;22;V;16;V;19;V;25;V;12;V;15;V;17;V;15;V;22;V;25;V;32;V;26;V;22;V;23;V
08;Barcelona;019;Barcelona;4;8;2019;7;3;19;V;25;V;34;V;46;V;46;V;48;V;59;V;68;V;69;V;62;V;54;V;49;V;68;V;34;V;19;V;18;V;15;V;11;V;13;V;29;V;75;V;100;V;101;V;94;V
08;Barcelona;019;Barcelona;4;8;2019;7;4;67;V;55;V;48;V;29;V;41;V;45;V;58;V;66;V;76;V;53;V;26;V;25;V;22;V;17;V;11;V;10;V;11;V;13;V;12;V;12;V;11;V;13;V;10;V;8;V
