"CODI_PROVINCIA","PROVINCIA","CODI_MUNICIPI","MUNICIPI","ESTACIO","CODI_CONTAMINANT","ANY","MES","DIA","H01","V01","H02","V02","H03","V03","H04","V04","H05","V05","H06","V06","H07","V07","H08","V08","H09","V09","H10","V10","H11","V11","H12","V12","H13","V13","H14","V14","H15","V15","H16","V16","H17","V17","H18","V18","H19","V19","H20","V20","H21","V21","H22","V22","H23","V23","H24","V24"
8,"Barcelona",19,"Barcelona",4,7,2019,12,1,10,"V",32,"V",31,"V",16,"V",5,"V",9,"V",18,"V",43,"V",22,"V",13,"V",16,"V",3,"V",4,"V",4,"V",5,"V",2,"V",2,"V",2,"V",3,"V",2,"V",2,"V",1,"V",2,"V",NA,"N"
8,"Barcelona",19,"Barcelona",4,7,2019,12,2,20,"V",21,"V",19,"V",6,"V",2,"V",11,"V",30,"V",50,"V",94,"V",93,"V",79,"V",NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",25,"V",43,"V",40,"V",38,"V",119,"V",140,"V",105,"V",107,"V"
8,"Barcelona",19,"Barcelona",4,7,2019,12,3,84,"V",57,"V",34,"V",18,"V",10,"V",9,"V",40,"V",93,"V",122,"V",111,"V",93,"V",47,"V",34,"V",39,"V",36,"V",5,"V",6,"V",5,"V",3,"V",3,"V",2,"V",2,"V",1,"V",NA,"N"
8,"Barcelona",19,"Barcelona",4,7,2019,12,4,1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",6,"V",3,"V",4,"V",5,"V",6,"V",6,"V",7,"V",5,"V",2,"V",3,"V",5,"V",3,"V",3,"V",3,"V",2,"V",1,"V",1,"V",NA,"N"
8,"Barcelona",19,"Barcelona",4,7,2019,12,5,1,"V",1,"V",1,"V",22,"V",1,"V",1,"V",5,"V",4,"V",7,"V",8,"V",8,"V",6,"V",4,"V",3,"V",2,"V",5,"V",6,"V",12,"V",11,"V",10,"V",NA,"N",NA,"N",NA,"N",NA,"N"
8,"Barcelona",19,"Barcelona",4,7,2019,12,6,5,"V",NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA,"N"
8,"Barcelona",19,"Barcelona",4,7,2019,12,9,2,"V",2,"V",1,"V",1,"V",1,"V",1,"V",4,"V",10,"V",37,"V",30,"V",NA,"N",NA,"N",16,"V",6,"V",7,"V",6,"V",7,"V",17,"V",7,"V",4,"V",6,"V",23,"V",7,"V",NA,"N"
8,"Barcelona",19,"Barcelona",4,7,2019,12,10,3,"V",1,"V",2,"V",1,"V",1,"V",14,"V",29,"V",83,"V",97,"V",86,"V",98,"V",48,"V",8,"V",7,"V",8,"V",14,"V",24,"V",44,"V",116,"V",48,"V",63,"V",56,"V",64,"V",58,"V"
8,"Barcelona",19,"Barcelona",4,7,2019,12,11,35,"V",25,"V",23,"V",21,"V",8,"V",7,"V",35,"V",100,"V",115,"V",82,"V",74,"V",71,"V",21,"V",14,"V",9,"V",7,"V",20,"V",17,"V",39,"V",55,"V",59,"V",22,"V",10,"V",NA,"N"
8,"Barcelona",19,"Barcelona",4,7,2019,12,12,2,"V",2,"V",4,"V",1,"V",1,"V",1,"V",3,"V",6,"V",12,"V",7,"V",14,"V",20,"V",13,"V",12,"V",8,"V",6,"V",9,"V",12,"V",15,"V",6,"V",5,"V",4,"V",3,"V",NA,"N"
8,"Barcelona",19,"Barcelona",4,7,2019,12,13,1,"V",2,"V",3,"V",1,"V",1,"V",2,"V",2,"V",3,"V",5,"V",8,"V",5,"V",6,"V",4,"V",4,"V",3,"V",3,"V",4,"V",4,"V",3,"V",2,"V",2,"V",2,"V",2,"V",2,"V"
8,"Barcelona",19,"Barcelona",4,7,2019,12,14,2,"V",5,"V",1,"V",1,"V",1,"V",1,"V",2,"V",4,"V",4,"V",5,"V",7,"V",7,"V",6,"V",6,"V",4,"V",3,"V",2,"V",3,"V",4,"V",8,"V",6,"V",10,"V",5,"V",NA,"N"
8,"Barcelona",19,"Barcelona",4,7,2019,12,15,5,"V",2,"V",7,"V",4,"V",1,"V",1,"V",2,"V",3,"V",4,"V",5,"V",6,"V",7,"V",5,"V",4,"V",7,"V",6,"V",5,"V",3,"V",4,"V",7,"V",5,"V",4,"V",4,"V",NA,"N"
8,"Barcelona",19,"Barcelona",4,7,2019,12,16,5,"V",2,"V",11,"V",17,"V",10,"V",17,"V",46,"V",NA,"N",42,"V",86,"V",118,"V",141,"V",121,"V",110,"V",9,"V",3,"V",4,"V",3,"V",10,"V",51,"V",74,"V",64,"V",47,"V",NA,"N"
8,"Barcelona",19,"Barcelona",4,7,2019,12,17,28,"V",20,"V",17,"V",21,"V",14,"V",13,"V",30,"V",63,"V",89,"V",92,"V",73,"V",46,"V",6,"V",5,"V",4,"V",6,"V",4,"V",7,"V",51,"V",75,"V",77,"V",103,"V",101,"V",NA,"N"
8,"Barcelona",19,"Barcelona",4,7,2019,12,18,19,"V",11,"V",4,"V",12,"V",17,"V",31,"V",56,"V",79,"V",120,"V",95,"V",NA,"N",NA,"N",28,"V",32,"V",9,"V",5,"V",6,"V",7,"V",28,"V",6,"V",5,"V",2,"V",25,"V",NA,"N"
8,"Barcelona",19,"Barcelona",4,7,2019,12,19,21,"V",16,"V",13,"V",9,"V",7,"V",11,"V",46,"V",83,"V",132,"V",130,"V",137,"V",116,"V",88,"V",87,"V",27,"V",22,"V",15,"V",10,"V",24,"V",15,"V",8,"V",20,"V",10,"V",NA,"N"
8,"Barcelona",19,"Barcelona",4,7,2019,12,20,2,"V",2,"V",3,"V",1,"V",2,"V",2,"V",6,"V",7,"V",17,"V",23,"V",13,"V",59,"V",37,"V",21,"V",16,"V",18,"V",11,"V",23,"V",38,"V",33,"V",33,"V",50,"V",51,"V",19,"V"
8,"Barcelona",19,"Barcelona",4,7,2019,12,21,12,"V",22,"V",16,"V",5,"V",12,"V",17,"V",4,"V",13,"V",22,"V",29,"V",29,"V",26,"V",13,"V",8,"V",9,"V",14,"V",7,"V",5,"V",11,"V",21,"V",16,"V",7,"V",4,"V",1,"V"
8,"Barcelona",19,"Barcelona",4,7,2019,12,22,1,"V",1,"V",2,"V",2,"V",1,"V",1,"V",2,"V",2,"V",1,"V",1,"V",2,"V",3,"V",3,"V",3,"V",2,"V",3,"V",2,"V",3,"V",3,"V",2,"V",2,"V",2,"V",1,"V",1,"V"
8,"Barcelona",19,"Barcelona",4,7,2019,12,23,2,"V",1,"V",1,"V",1,"V",1,"V",1,"V",2,"V",2,"V",4,"V",5,"V",7,"V",7,"V",7,"V",6,"V",5,"V",4,"V",3,"V",4,"V",14,"V",36,"V",21,"V",83,"V",88,"V",67,"V"
8,"Barcelona",19,"Barcelona",4,7,2019,12,24,21,"V",30,"V",30,"V",21,"V",14,"V",18,"V",31,"V",74,"V",126,"V",91,"V",16,"V",22,"V",23,"V",10,"V",14,"V",11,"V",18,"V",6,"V",7,"V",10,"V",6,"V",4,"V",1,"V",NA,"N"
8,"Barcelona",19,"Barcelona",4,7,2019,12,25,5,"V",24,"V",30,"V",38,"V",23,"V",11,"V",22,"V",17,"V",9,"V",22,"V",23,"V",16,"V",22,"V",36,"V",18,"V",9,"V",9,"V",11,"V",34,"V",73,"V",27,"V",42,"V",43,"V",NA,"N"
8,"Barcelona",19,"Barcelona",4,7,2019,12,26,22,"V",14,"V",11,"V",14,"V",9,"V",8,"V",16,"V",25,"V",26,"V",23,"V",22,"V",34,"V",25,"V",5,"V",2,"V",1,"V",1,"V",6,"V",52,"V",55,"V",29,"V",20,"V",22,"V",NA,"N"
8,"Barcelona",19,"Barcelona",4,7,2019,12,27,3,"V",1,"V",1,"V",1,"V",1,"V",3,"V",17,"V",24,"V",42,"V",52,"V",26,"V",16,"V",11,"V",10,"V",13,"V",7,"V",9,"V",38,"V",54,"V",64,"V",40,"V",36,"V",22,"V",32,"V"
8,"Barcelona",19,"Barcelona",4,7,2019,12,28,37,"V",36,"V",16,"V",14,"V",19,"V",18,"V",26,"V",32,"V",39,"V",63,"V",58,"V",55,"V",41,"V",13,"V",5,"V",3,"V",2,"V",2,"V",6,"V",42,"V",103,"V",54,"V",44,"V",NA,"N"
8,"Barcelona",19,"Barcelona",4,7,2019,12,29,40,"V",40,"V",38,"V",23,"V",16,"V",15,"V",14,"V",18,"V",21,"V",14,"V",13,"V",10,"V",6,"V",4,"V",4,"V",3,"V",3,"V",3,"V",2,"V",2,"V",16,"V",24,"V",18,"V",NA,"N"
8,"Barcelona",19,"Barcelona",4,7,2019,12,30,11,"V",8,"V",4,"V",6,"V",4,"V",5,"V",10,"V",29,"V",53,"V",43,"V",33,"V",41,"V",36,"V",18,"V",14,"V",14,"V",19,"V",15,"V",28,"V",32,"V",56,"V",42,"V",12,"V",NA,"N"
8,"Barcelona",19,"Barcelona",4,7,2019,12,31,10,"V",7,"V",7,"V",6,"V",2,"V",4,"V",7,"V",14,"V",27,"V",47,"V",25,"V",NA,"N",13,"V",7,"V",5,"V",5,"V",3,"V",4,"V",4,"V",4,"V",6,"V",6,"V",2,"V",NA,"N"
8,"Barcelona",19,"Barcelona",4,8,2019,12,1,61,"V",54,"V",46,"V",45,"V",43,"V",42,"V",41,"V",42,"V",48,"V",35,"V",33,"V",14,"V",14,"V",18,"V",25,"V",16,"V",26,"V",34,"V",20,"V",15,"V",13,"V",9,"V",41,"V",NA,"N"
8,"Barcelona",19,"Barcelona",4,8,2019,12,2,63,"V",51,"V",46,"V",38,"V",31,"V",38,"V",42,"V",50,"V",56,"V",59,"V",57,"V",NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",62,"V",67,"V",72,"V",77,"V",82,"V",76,"V",68,"V",60,"V"
8,"Barcelona",19,"Barcelona",4,8,2019,12,3,53,"V",47,"V",44,"V",40,"V",41,"V",42,"V",42,"V",47,"V",52,"V",51,"V",50,"V",46,"V",50,"V",57,"V",62,"V",28,"V",38,"V",42,"V",32,"V",26,"V",28,"V",19,"V",16,"V",NA,"N"
8,"Barcelona",19,"Barcelona",4,8,2019,12,4,11,"V",10,"V",8,"V",11,"V",12,"V",9,"V",14,"V",26,"V",26,"V",25,"V",43,"V",38,"V",36,"V",26,"V",23,"V",26,"V",19,"V",16,"V",26,"V",28,"V",20,"V",18,"V",19,"V",NA,"N"
8,"Barcelona",19,"Barcelona",4,8,2019,12,5,9,"V",8,"V",7,"V",14,"V",8,"V",11,"V",23,"V",38,"V",40,"V",41,"V",38,"V",25,"V",24,"V",22,"V",19,"V",34,"V",46,"V",74,"V",76,"V",60,"V",NA,"N",NA,"N",NA,"N",NA,"N"
8,"Barcelona",19,"Barcelona",4,8,2019,12,6,67,"V",NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA,"N"
8,"Barcelona",19,"Barcelona",4,8,2019,12,9,22,"V",20,"V",18,"V",9,"V",6,"V",10,"V",17,"V",33,"V",48,"V",48,"V",NA,"N",NA,"N",34,"V",20,"V",22,"V",26,"V",35,"V",58,"V",48,"V",35,"V",39,"V",69,"V",48,"V",NA,"N"
8,"Barcelona",19,"Barcelona",4,8,2019,12,10,27,"V",16,"V",12,"V",18,"V",35,"V",47,"V",50,"V",59,"V",60,"V",59,"V",67,"V",60,"V",29,"V",28,"V",36,"V",44,"V",62,"V",67,"V",76,"V",70,"V",73,"V",66,"V",63,"V",60,"V"
