"CODI_PROVINCIA","PROVINCIA","CODI_MUNICIPI","MUNICIPI","ESTACIO","CODI_CONTAMINANT","ANY","MES","DIA","H01","V01","H02","V02","H03","V03","H04","V04","H05","V05","H06","V06","H07","V07","H08","V08","H09","V09","H10","V10","H11","V11","H12","V12","H13","V13","H14","V14","H15","V15","H16","V16","H17","V17","H18","V18","H19","V19","H20","V20","H21","V21","H22","V22","H23","V23","H24","V24"
8,"Barcelona",19,"Barcelona",4,7,2020,2,1,93,"V",43,"V",41,"V",31,"V",26,"V",32,"V",41,"V",35,"V",9,"V",13,"V",12,"V",16,"V",25,"V",11,"V",5,"V",8,"V",6,"V",3,"V",7,"V",6,"V",31,"V",68,"V",120,"V",89,"V"
8,"Barcelona",19,"Barcelona",4,7,2020,2,2,38,"V",47,"V",42,"V",40,"V",47,"V",27,"V",17,"V",43,"V",79,"V",30,"V",42,"V",8,"V",7,"V",7,"V",16,"V",8,"V",6,"V",9,"V",27,"V",28,"V",16,"V",27,"V",16,"V",7,"V"
8,"Barcelona",19,"Barcelona",4,7,2020,2,3,6,"V",14,"V",10,"V",9,"V",14,"V",30,"V",42,"V",106,"V",163,"V",155,"V",99,"V",79,"V",51,"V",38,"V",18,"V",23,"V",43,"V",96,"V",143,"V",132,"V",80,"V",41,"V",49,"V",NA,"N"
8,"Barcelona",19,"Barcelona",4,7,2020,2,4,40,"V",46,"V",23,"V",2,"V",3,"V",2,"V",6,"V",8,"V",15,"V",14,"V",14,"V",15,"V",9,"V",7,"V",6,"V",6,"V",5,"V",2,"V",2,"V",11,"V",6,"V",9,"V",4,"V",2,"V"
8,"Barcelona",19,"Barcelona",4,7,2020,2,5,1,"V",1,"V",1,"V",1,"V",1,"V",2,"V",7,"V",19,"V",51,"V",19,"V",16,"V",12,"V",10,"V",10,"V",6,"V",9,"V",13,"V",16,"V",22,"V",39,"V",72,"V",63,"V",42,"V",3,"V"
8,"Barcelona",19,"Barcelona",4,7,2020,2,6,4,"V",3,"V",14,"V",20,"V",19,"V",25,"V",44,"V",54,"V",103,"V",110,"V",98,"V",41,"V",15,"V",13,"V",9,"V",9,"V",11,"V",11,"V",10,"V",6,"V",5,"V",9,"V",9,"V",NA,"N"
8,"Barcelona",19,"Barcelona",4,7,2020,2,7,33,"V",33,"V",29,"V",28,"V",23,"V",33,"V",46,"V",64,"V",102,"V",129,"V",122,"V",72,"V",90,"V",35,"V",21,"V",7,"V",8,"V",5,"V",4,"V",5,"V",17,"V",39,"V",39,"V",16,"V"
8,"Barcelona",19,"Barcelona",4,7,2020,2,8,3,"V",10,"V",5,"V",3,"V",3,"V",3,"V",13,"V",32,"V",45,"V",39,"V",32,"V",14,"V",6,"V",5,"V",5,"V",7,"V",6,"V",7,"V",5,"V",5,"V",7,"V",17,"V",60,"V",18,"V"
8,"Barcelona",19,"Barcelona",4,7,2020,2,9,5,"V",12,"V",15,"V",8,"V",12,"V",15,"V",18,"V",9,"V",18,"V",27,"V",29,"V",29,"V",8,"V",6,"V",5,"V",3,"V",3,"V",3,"V",5,"V",6,"V",4,"V",4,"V",5,"V",2,"V"
8,"Barcelona",19,"Barcelona",4,7,2020,2,10,2,"V",2,"V",1,"V",1,"V",4,"V",20,"V",12,"V",41,"V",120,"V",65,"V",NA,"N",NA,"N",10,"V",7,"V",6,"V",6,"V",6,"V",24,"V",30,"V",33,"V",57,"V",76,"V",109,"V",108,"V"
