"CODI_PROVINCIA","PROVINCIA","CODI_MUNICIPI","MUNICIPI","ESTACIO","CODI_CONTAMINANT","ANY","MES","DIA","H01","V01","H02","V02","H03","V03","H04","V04","H05","V05","H06","V06","H07","V07","H08","V08","H09","V09","H10","V10","H11","V11","H12","V12","H13","V13","H14","V14","H15","V15","H16","V16","H17","V17","H18","V18","H19","V19","H20","V20","H21","V21","H22","V22","H23","V23","H24","V24"
8,"Barcelona",19,"Barcelona",4,7,2020,3,1,18,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",3,"V",3,"V",5,"V",3,"V",4,"V",3,"V",3,"V",3,"V",5,"V",4,"V",5,"V",5,"V",7,"V",4,"V",3,"V",NA,"N"
8,"Barcelona",19,"Barcelona",4,7,2020,3,2,4,"V",2,"V",2,"V",1,"V",1,"V",2,"V",5,"V",10,"V",14,"V",9,"V",10,"V",7,"V",4,"V",5,"V",3,"V",3,"V",4,"V",3,"V",4,"V",2,"V",2,"V",1,"V",1,"V",NA,"N"
8,"Barcelona",19,"Barcelona",4,7,2020,3,3,1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",4,"V",4,"V",9,"V",9,"V",19,"V",18,"V",8,"V",9,"V",5,"V",10,"V",9,"V",8,"V",3,"V",3,"V",2,"V",3,"V",2,"V",NA,"N"
8,"Barcelona",19,"Barcelona",4,7,2020,3,4,1,"V",4,"V",1,"V",1,"V",1,"V",1,"V",7,"V",20,"V",52,"V",113,"V",NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA,"N"
8,"Barcelona",19,"Barcelona",4,7,2020,3,5,NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",25,"V",21,"V",7,"V",17,"V",12,"V",8,"V",4,"V",4,"V",3,"V",2,"V",1,"V",1,"V",NA,"N"
8,"Barcelona",19,"Barcelona",4,7,2020,3,6,1,"V",1,"V",3,"V",1,"V",1,"V",1,"V",5,"V",5,"V",8,"V",8,"V",6,"V",6,"V",5,"V",5,"V",3,"V",3,"V",5,"V",3,"V",3,"V",2,"V",2,"V",2,"V",1,"V",NA,"N"
8,"Barcelona",19,"Barcelona",4,7,2020,3,7,1,"V",3,"V",1,"V",1,"V",1,"V",1,"V",2,"V",2,"V",6,"V",8,"V",8,"V",5,"V",4,"V",5,"V",2,"V",2,"V",3,"V",5,"V",3,"V",2,"V",2,"V",1,"V",1,"V",NA,"N"
8,"Barcelona",19,"Barcelona",4,7,2020,3,8,3,"V",3,"V",2,"V",1,"V",1,"V",1,"V",3,"V",7,"V",10,"V",5,"V",4,"V",3,"V",4,"V",4,"V",2,"V",2,"V",2,"V",3,"V",5,"V",4,"V",1,"V",8,"V",9,"V",5,"V"
8,"Barcelona",19,"Barcelona",4,7,2020,3,9,8,"V",6,"V",5,"V",2,"V",1,"V",5,"V",23,"V",63,"V",84,"V",37,"V",8,"V",5,"V",12,"V",10,"V",10,"V",5,"V",2,"V",3,"V",3,"V",2,"V",2,"V",2,"V",1,"V",NA,"N"
8,"Barcelona",19,"Barcelona",4,7,2020,3,10,1,"V",1,"V",1,"V",2,"V",1,"V",1,"V",3,"V",4,"V",12,"V",11,"V",9,"V",13,"V",8,"V",8,"V",9,"V",8,"V",9,"V",10,"V",10,"V",8,"V",11,"V",14,"V",12,"V",21,"V"
8,"Barcelona",19,"Barcelona",4,7,2020,3,11,8,"V",4,"V",8,"V",7,"V",3,"V",14,"V",30,"V",65,"V",93,"V",58,"V",20,"V",5,"V",5,"V",4,"V",3,"V",3,"V",2,"V",3,"V",2,"V",2,"V",9,"V",22,"V",35,"V",NA,"N"
