"CODI_PROVINCIA","PROVINCIA","CODI_MUNICIPI","MUNICIPI","ESTACIO","CODI_CONTAMINANT","ANY","MES","DIA","H01","V01","H02","V02","H03","V03","H04","V04","H05","V05","H06","V06","H07","V07","H08","V08","H09","V09","H10","V10","H11","V11","H12","V12","H13","V13","H14","V14","H15","V15","H16","V16","H17","V17","H18","V18","H19","V19","H20","V20","H21","V21","H22","V22","H23","V23","H24","V24"
8,"Barcelona",19,"Barcelona",4,7,2020,5,1,1,"V",1,"V",2,"V",2,"V",1,"V",2,"V",1,"V",1,"V",2,"V",1,"V",2,"V",2,"V",2,"V",1,"V",1,"V",1,"V",1,"V",1,"V",2,"V",2,"V",2,"V",1,"V",1,"V",NA,"N"
8,"Barcelona",19,"Barcelona",4,7,2020,5,2,1,"V",1,"V",2,"V",1,"V",1,"V",2,"V",2,"V",5,"V",4,"V",2,"V",1,"V",2,"V",2,"V",2,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V"
8,"Barcelona",19,"Barcelona",4,7,2020,5,3,1,"V",2,"V",2,"V",4,"V",1,"V",4,"V",3,"V",6,"V",9,"V",7,"V",1,"V",1,"V",2,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V"
8,"Barcelona",19,"Barcelona",4,7,2020,5,4,1,"V",2,"V",2,"V",2,"V",4,"V",7,"V",14,"V",22,"V",47,"V",32,"V",NA,"N",24,"V",13,"V",12,"V",8,"V",5,"V",5,"V",5,"V",4,"V",2,"V",2,"V",2,"V",4,"V",NA,"N"
8,"Barcelona",19,"Barcelona",4,7,2020,5,5,2,"V",5,"V",12,"V",3,"V",2,"V",3,"V",11,"V",29,"V",42,"V",51,"V",38,"V",9,"V",6,"V",3,"V",2,"V",1,"V",1,"V",2,"V",2,"V",1,"V",1,"V",1,"V",1,"V",1,"V"
8,"Barcelona",19,"Barcelona",4,7,2020,5,6,2,"V",2,"V",1,"V",1,"V",1,"V",3,"V",9,"V",20,"V",30,"V",31,"V",7,"V",4,"V",5,"V",3,"V",3,"V",1,"V",2,"V",2,"V",3,"V",3,"V",1,"V",1,"V",1,"V",NA,"N"
8,"Barcelona",19,"Barcelona",4,7,2020,5,7,5,"V",2,"V",2,"V",1,"V",1,"V",2,"V",6,"V",19,"V",35,"V",16,"V",4,"V",3,"V",2,"V",2,"V",2,"V",1,"V",2,"V",1,"V",1,"V",1,"V",1,"V",1,"V",2,"V",1,"V"
8,"Barcelona",19,"Barcelona",4,7,2020,5,8,1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",2,"V",20,"V",28,"V",17,"V",4,"V",3,"V",2,"V",2,"V",2,"V",2,"V",1,"V",2,"V",2,"V",1,"V",1,"V",1,"V",1,"V",1,"V"
8,"Barcelona",19,"Barcelona",4,7,2020,5,9,1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",2,"V",2,"V",5,"V",3,"V",1,"V",1,"V",1,"V",2,"V",1,"V",2,"V",1,"V",1,"V",1,"V",1,"V",2,"V",1,"V",1,"V"
8,"Barcelona",19,"Barcelona",4,7,2020,5,10,1,"V",2,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",NA,"N"
8,"Barcelona",19,"Barcelona",4,7,2020,5,11,1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",2,"V",5,"V",6,"V",7,"V",4,"V",4,"V",3,"V",3,"V",4,"V",3,"V",3,"V",2,"V",2,"V",2,"V",1,"V",2,"V",2,"V"
8,"Barcelona",19,"Barcelona",4,7,2020,5,12,2,"V",1,"V",1,"V",1,"V",2,"V",2,"V",3,"V",8,"V",3,"V",2,"V",3,"V",2,"V",2,"V",2,"V",2,"V",2,"V",1,"V",1,"V",2,"V",1,"V",1,"V",1,"V",1,"V",NA,"N"
8,"Barcelona",19,"Barcelona",4,7,2020,5,13,1,"V",1,"V",1,"V",1,"V",1,"V",3,"V",1,"V",3,"V",3,"V",3,"V",5,"V",7,"V",6,"V",7,"V",5,"V",5,"V",5,"V",5,"V",3,"V",2,"V",1,"V",1,"V",2,"V",NA,"N"
8,"Barcelona",19,"Barcelona",4,7,2020,5,14,1,"V",1,"V",1,"V",1,"V",1,"V",2,"V",5,"V",1,"V",2,"V",2,"V",NA,"N",4,"V",2,"V",3,"V",2,"V",4,"V",2,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",NA,"N"
8,"Barcelona",19,"Barcelona",4,7,2020,5,15,1,"V",1,"V",1,"V",1,"V",1,"V",2,"V",2,"V",8,"V",11,"V",14,"V",7,"V",4,"V",3,"V",3,"V",2,"V",1,"V",1,"V",1,"V",2,"V",1,"V",1,"V",1,"V",1,"V",3,"V"
8,"Barcelona",19,"Barcelona",4,7,2020,5,16,1,"V",1,"V",2,"V",1,"V",1,"V",1,"V",1,"V",2,"V",4,"V",2,"V",2,"V",2,"V",2,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V"
8,"Barcelona",19,"Barcelona",4,7,2020,5,17,1,"V",1,"V",1,"V",1,"V",1,"V",3,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",2,"V",2,"V",3,"V",4,"V",4,"V",3,"V",3,"V",1,"V",1,"V",1,"V",1,"V",1,"V"
8,"Barcelona",19,"Barcelona",4,7,2020,5,18,1,"V",1,"V",1,"V",1,"V",1,"V",2,"V",4,"V",22,"V",25,"V",23,"V",12,"V",3,"V",2,"V",2,"V",3,"V",2,"V",2,"V",2,"V",2,"V",3,"V",3,"V",1,"V",3,"V",4,"V"
8,"Barcelona",19,"Barcelona",4,7,2020,5,19,3,"V",2,"V",2,"V",2,"V",1,"V",1,"V",5,"V",8,"V",4,"V",6,"V",4,"V",8,"V",5,"V",4,"V",2,"V",2,"V",2,"V",1,"V",1,"V",1,"V",2,"V",1,"V",2,"V",NA,"N"
8,"Barcelona",19,"Barcelona",4,7,2020,5,20,2,"V",3,"V",2,"V",1,"V",1,"V",1,"V",3,"V",18,"V",29,"V",18,"V",16,"V",14,"V",9,"V",7,"V",3,"V",1,"V",1,"V",1,"V",2,"V",1,"V",1,"V",1,"V",2,"V",NA,"N"
8,"Barcelona",19,"Barcelona",4,7,2020,5,21,2,"V",2,"V",2,"V",1,"V",1,"V",1,"V",5,"V",19,"V",40,"V",28,"V",29,"V",17,"V",11,"V",9,"V",12,"V",6,"V",8,"V",4,"V",4,"V",4,"V",1,"V",1,"V",1,"V",NA,"N"
8,"Barcelona",19,"Barcelona",4,7,2020,5,22,1,"V",5,"V",2,"V",1,"V",2,"V",3,"V",5,"V",19,"V",36,"V",52,"V",46,"V",14,"V",9,"V",4,"V",4,"V",6,"V",3,"V",2,"V",4,"V",6,"V",3,"V",2,"V",1,"V",1,"V"
8,"Barcelona",19,"Barcelona",4,7,2020,5,23,1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",2,"V",5,"V",12,"V",12,"V",7,"V",5,"V",4,"V",4,"V",5,"V",5,"V",4,"V",2,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V"
8,"Barcelona",19,"Barcelona",4,7,2020,5,24,2,"V",1,"V",1,"V",4,"V",2,"V",1,"V",2,"V",1,"V",4,"V",2,"V",1,"V",1,"V",4,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",NA,"N"
8,"Barcelona",19,"Barcelona",4,7,2020,5,25,1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",4,"V",5,"V",6,"V",7,"V",5,"V",5,"V",4,"V",3,"V",4,"V",5,"V",5,"V",4,"V",2,"V",2,"V",1,"V",1,"V",NA,"N"
8,"Barcelona",19,"Barcelona",4,7,2020,5,26,1,"V",1,"V",1,"V",1,"V",1,"V",2,"V",3,"V",17,"V",30,"V",29,"V",30,"V",13,"V",4,"V",5,"V",4,"V",3,"V",3,"V",2,"V",2,"V",2,"V",1,"V",1,"V",1,"V",1,"V"
8,"Barcelona",19,"Barcelona",4,7,2020,5,27,2,"V",2,"V",1,"V",1,"V",1,"V",2,"V",4,"V",11,"V",3,"V",NA,"N",NA,"N",3,"V",3,"V",2,"V",1,"V",2,"V",1,"V",2,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V"
8,"Barcelona",19,"Barcelona",4,7,2020,5,28,1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",3,"V",9,"V",7,"V",3,"V",4,"V",3,"V",5,"V",3,"V",2,"V",2,"V",1,"V",2,"V",2,"V",2,"V",2,"V",1,"V",1,"V",1,"V"
