"CODI_PROVINCIA","PROVINCIA","CODI_MUNICIPI","MUNICIPI","ESTACIO","CODI_CONTAMINANT","ANY","MES","DIA","H01","V01","H02","V02","H03","V03","H04","V04","H05","V05","H06","V06","H07","V07","H08","V08","H09","V09","H10","V10","H11","V11","H12","V12","H13","V13","H14","V14","H15","V15","H16","V16","H17","V17","H18","V18","H19","V19","H20","V20","H21","V21","H22","V22","H23","V23","H24","V24"
8,"Barcelona",19,"Barcelona",4,7,2020,7,1,1,"V",2,"V",3,"V",2,"V",3,"V",10,"V",21,"V",36,"V",61,"V",37,"V",19,"V",6,"V",5,"V",4,"V",3,"V",3,"V",4,"V",3,"V",6,"V",3,"V",2,"V",2,"V",2,"V",2,"V"
8,"Barcelona",19,"Barcelona",4,7,2020,7,2,1,"V",1,"V",1,"V",1,"V",1,"V",4,"V",5,"V",4,"V",10,"V",14,"V",6,"V",6,"V",7,"V",5,"V",5,"V",4,"V",4,"V",3,"V",3,"V",3,"V",NA,"N",NA,"N",NA,"N",NA,"N"
8,"Barcelona",19,"Barcelona",4,7,2020,7,3,NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",6,"V",6,"V",6,"V",5,"V",5,"V",5,"V",5,"V",4,"V",3,"V",3,"V",2,"V",2,"V"
8,"Barcelona",19,"Barcelona",4,7,2020,7,4,2,"V",2,"V",2,"V",2,"V",1,"V",2,"V",3,"V",7,"V",5,"V",3,"V",3,"V",11,"V",4,"V",4,"V",3,"V",4,"V",3,"V",3,"V",3,"V",3,"V",4,"V",2,"V",2,"V",NA,"N"
8,"Barcelona",19,"Barcelona",4,7,2020,7,5,3,"V",2,"V",3,"V",2,"V",3,"V",3,"V",2,"V",4,"V",7,"V",5,"V",6,"V",4,"V",4,"V",3,"V",5,"V",7,"V",7,"V",9,"V",6,"V",7,"V",5,"V",3,"V",4,"V",5,"V"
8,"Barcelona",19,"Barcelona",4,7,2020,7,6,4,"V",3,"V",4,"V",3,"V",3,"V",5,"V",11,"V",24,"V",35,"V",14,"V",12,"V",7,"V",4,"V",3,"V",3,"V",3,"V",3,"V",3,"V",3,"V",3,"V",3,"V",2,"V",2,"V",1,"V"
8,"Barcelona",19,"Barcelona",4,7,2020,7,7,2,"V",1,"V",1,"V",1,"V",1,"V",3,"V",11,"V",15,"V",16,"V",10,"V",7,"V",6,"V",6,"V",NA,"N",NA,"N",3,"V",4,"V",3,"V",4,"V",3,"V",2,"V",1,"V",1,"V",NA,"N"
8,"Barcelona",19,"Barcelona",4,7,2020,7,8,1,"V",1,"V",2,"V",1,"V",1,"V",1,"V",5,"V",18,"V",25,"V",21,"V",10,"V",7,"V",4,"V",3,"V",3,"V",2,"V",3,"V",4,"V",2,"V",1,"V",1,"V",1,"V",1,"V",1,"V"
8,"Barcelona",19,"Barcelona",4,7,2020,7,9,1,"V",2,"V",2,"V",1,"V",1,"V",2,"V",7,"V",16,"V",10,"V",5,"V",13,"V",7,"V",7,"V",3,"V",2,"V",1,"V",2,"V",3,"V",2,"V",2,"V",1,"V",1,"V",1,"V",1,"V"
8,"Barcelona",19,"Barcelona",4,7,2020,7,10,1,"V",1,"V",1,"V",2,"V",3,"V",3,"V",8,"V",32,"V",33,"V",45,"V",27,"V",6,"V",3,"V",2,"V",2,"V",1,"V",1,"V",1,"V",2,"V",2,"V",2,"V",1,"V",1,"V",1,"V"
8,"Barcelona",19,"Barcelona",4,7,2020,7,11,2,"V",2,"V",2,"V",1,"V",7,"V",7,"V",1,"V",5,"V",9,"V",7,"V",4,"V",2,"V",1,"V",1,"V",2,"V",1,"V",3,"V",2,"V",1,"V",2,"V",1,"V",1,"V",1,"V",NA,"N"
8,"Barcelona",19,"Barcelona",4,7,2020,7,12,2,"V",1,"V",3,"V",1,"V",1,"V",1,"V",1,"V",2,"V",2,"V",3,"V",6,"V",5,"V",2,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",2,"V",1,"V",1,"V",1,"V",NA,"N"
8,"Barcelona",19,"Barcelona",4,7,2020,7,13,1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",3,"V",13,"V",16,"V",20,"V",6,"V",3,"V",2,"V",3,"V",2,"V",2,"V",2,"V",2,"V",2,"V",3,"V",2,"V",1,"V",2,"V",NA,"N"
8,"Barcelona",19,"Barcelona",4,7,2020,7,14,1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",2,"V",2,"V",4,"V",7,"V",4,"V",3,"V",2,"V",3,"V",2,"V",2,"V",2,"V",1,"V",2,"V",1,"V",1,"V",1,"V",NA,"N"
8,"Barcelona",19,"Barcelona",4,7,2020,7,15,1,"V",1,"V",1,"V",1,"V",2,"V",1,"V",3,"V",5,"V",2,"V",2,"V",5,"V",4,"V",4,"V",3,"V",2,"V",3,"V",2,"V",3,"V",2,"V",2,"V",3,"V",1,"V",NA,"N",NA,"N"
8,"Barcelona",19,"Barcelona",4,7,2020,7,16,1,"V",1,"V",2,"V",1,"V",2,"V",1,"V",1,"V",2,"V",1,"V",2,"V",2,"V",3,"V",5,"V",3,"V",3,"V",3,"V",3,"V",2,"V",3,"V",4,"V",1,"V",2,"V",2,"V",NA,"N"
8,"Barcelona",19,"Barcelona",4,7,2020,7,17,3,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",4,"V",10,"V",7,"V",5,"V",8,"V",9,"V",5,"V",6,"V",5,"V",5,"V",4,"V",3,"V",3,"V",3,"V",1,"V",1,"V",1,"V"
8,"Barcelona",19,"Barcelona",4,7,2020,7,18,1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",4,"V",2,"V",3,"V",3,"V",4,"V",2,"V",2,"V",2,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V"
8,"Barcelona",19,"Barcelona",4,7,2020,7,19,1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",2,"V",2,"V",4,"V",5,"V",3,"V",2,"V",4,"V",4,"V",3,"V",2,"V",2,"V",3,"V",2,"V",2,"V",1,"V",1,"V",1,"V"
8,"Barcelona",19,"Barcelona",4,7,2020,7,20,1,"V",1,"V",1,"V",1,"V",1,"V",5,"V",8,"V",7,"V",9,"V",9,"V",13,"V",8,"V",5,"V",4,"V",3,"V",6,"V",4,"V",5,"V",6,"V",5,"V",6,"V",3,"V",1,"V",NA,"N"
8,"Barcelona",19,"Barcelona",4,7,2020,7,21,1,"V",1,"V",2,"V",1,"V",1,"V",3,"V",10,"V",21,"V",47,"V",23,"V",6,"V",3,"V",NA,"N",NA,"N",3,"V",5,"V",3,"V",3,"V",2,"V",3,"V",1,"V",1,"V",1,"V",NA,"N"
8,"Barcelona",19,"Barcelona",4,7,2020,7,22,2,"V",3,"V",2,"V",6,"V",12,"V",12,"V",19,"V",17,"V",24,"V",36,"V",6,"V",6,"V",6,"V",3,"V",3,"V",3,"V",3,"V",4,"V",2,"V",5,"V",3,"V",2,"V",2,"V",NA,"N"
8,"Barcelona",19,"Barcelona",4,7,2020,7,23,2,"V",2,"V",2,"V",2,"V",2,"V",5,"V",4,"V",15,"V",31,"V",36,"V",13,"V",5,"V",5,"V",2,"V",2,"V",1,"V",1,"V",2,"V",1,"V",1,"V",1,"V",1,"V",1,"V",NA,"N"
8,"Barcelona",19,"Barcelona",4,7,2020,7,24,2,"V",3,"V",2,"V",3,"V",2,"V",3,"V",2,"V",4,"V",15,"V",12,"V",21,"V",22,"V",10,"V",4,"V",4,"V",3,"V",2,"V",3,"V",3,"V",3,"V",2,"V",1,"V",1,"V",NA,"N"
8,"Barcelona",19,"Barcelona",4,7,2020,7,25,2,"V",1,"V",7,"V",1,"V",1,"V",1,"V",2,"V",4,"V",6,"V",5,"V",4,"V",3,"V",2,"V",1,"V",1,"V",1,"V",1,"V",1,"V",2,"V",3,"V",2,"V",1,"V",1,"V",NA,"N"
8,"Barcelona",19,"Barcelona",4,7,2020,7,26,1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",3,"V",3,"V",3,"V",1,"V",2,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V"
8,"Barcelona",19,"Barcelona",4,7,2020,7,27,1,"V",1,"V",1,"V",1,"V",1,"V",2,"V",5,"V",24,"V",36,"V",28,"V",23,"V",10,"V",5,"V",3,"V",2,"V",3,"V",5,"V",4,"V",3,"V",3,"V",3,"V",4,"V",5,"V",NA,"N"
