"CODI_PROVINCIA","PROVINCIA","CODI_MUNICIPI","MUNICIPI","ESTACIO","CODI_CONTAMINANT","ANY","MES","DIA","H01","V01","H02","V02","H03","V03","H04","V04","H05","V05","H06","V06","H07","V07","H08","V08","H09","V09","H10","V10","H11","V11","H12","V12","H13","V13","H14","V14","H15","V15","H16","V16","H17","V17","H18","V18","H19","V19","H20","V20","H21","V21","H22","V22","H23","V23","H24","V24"
8,"Barcelona",19,"Barcelona",4,7,2020,10,1,9,"V",4,"V",1,"V",2,"V",1,"V",2,"V",11,"V",32,"V",60,"V",84,"V",61,"V",41,"V",11,"V",8,"V",6,"V",4,"V",4,"V",2,"V",2,"V",1,"V",2,"V",1,"V",1,"V",1,"V"
8,"Barcelona",19,"Barcelona",4,7,2020,10,2,5,"V",1,"V",1,"V",2,"V",1,"V",2,"V",1,"V",8,"V",7,"V",11,"V",7,"V",15,"V",14,"V",12,"V",5,"V",4,"V",3,"V",2,"V",1,"V",2,"V",3,"V",3,"V",2,"V",NA,"N"
8,"Barcelona",19,"Barcelona",4,7,2020,10,3,1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",3,"V",2,"V",3,"V",3,"V",3,"V",3,"V",2,"V",1,"V",2,"V",1,"V",2,"V",2,"V",1,"V",1,"V",3,"V",NA,"N"
8,"Barcelona",19,"Barcelona",4,7,2020,10,4,1,"V",4,"V",2,"V",2,"V",1,"V",2,"V",2,"V",1,"V",1,"V",2,"V",4,"V",4,"V",5,"V",3,"V",2,"V",2,"V",1,"V",2,"V",1,"V",1,"V",1,"V",1,"V",1,"V",NA,"N"
8,"Barcelona",19,"Barcelona",4,7,2020,10,5,1,"V",1,"V",1,"V",1,"V",1,"V",3,"V",5,"V",30,"V",44,"V",14,"V",16,"V",7,"V",8,"V",4,"V",4,"V",3,"V",3,"V",3,"V",3,"V",2,"V",2,"V",2,"V",2,"V",13,"V"
8,"Barcelona",19,"Barcelona",4,7,2020,10,6,8,"V",3,"V",3,"V",3,"V",3,"V",7,"V",18,"V",37,"V",43,"V",63,"V",56,"V",45,"V",27,"V",12,"V",13,"V",11,"V",13,"V",12,"V",10,"V",7,"V",3,"V",3,"V",2,"V",2,"V"
8,"Barcelona",19,"Barcelona",4,7,2020,10,7,15,"V",26,"V",15,"V",5,"V",1,"V",2,"V",5,"V",26,"V",38,"V",74,"V",50,"V",8,"V",5,"V",5,"V",4,"V",4,"V",6,"V",4,"V",2,"V",1,"V",1,"V",1,"V",2,"V",NA,"N"
8,"Barcelona",19,"Barcelona",4,7,2020,10,8,4,"V",3,"V",2,"V",1,"V",1,"V",1,"V",2,"V",4,"V",8,"V",33,"V",13,"V",12,"V",13,"V",5,"V",5,"V",5,"V",8,"V",9,"V",7,"V",4,"V",3,"V",1,"V",2,"V",2,"V"
8,"Barcelona",19,"Barcelona",4,7,2020,10,9,11,"V",20,"V",7,"V",8,"V",7,"V",15,"V",31,"V",83,"V",125,"V",113,"V",86,"V",43,"V",28,"V",20,"V",9,"V",10,"V",10,"V",9,"V",4,"V",4,"V",4,"V",2,"V",3,"V",NA,"N"
8,"Barcelona",19,"Barcelona",4,7,2020,10,10,1,"V",3,"V",11,"V",1,"V",1,"V",9,"V",17,"V",27,"V",43,"V",44,"V",34,"V",11,"V",3,"V",3,"V",2,"V",4,"V",2,"V",2,"V",1,"V",2,"V",2,"V",1,"V",2,"V",NA,"N"
