"CODI_PROVINCIA","PROVINCIA","CODI_MUNICIPI","MUNICIPI","ESTACIO","CODI_CONTAMINANT","ANY","MES","DIA","H01","V01","H02","V02","H03","V03","H04","V04","H05","V05","H06","V06","H07","V07","H08","V08","H09","V09","H10","V10","H11","V11","H12","V12","H13","V13","H14","V14","H15","V15","H16","V16","H17","V17","H18","V18","H19","V19","H20","V20","H21","V21","H22","V22","H23","V23","H24","V24"
8,"Barcelona",19,"Barcelona",4,7,2020,11,1,2,"V",1,"V",1,"V",1,"V",1,"V",2,"V",2,"V",3,"V",6,"V",7,"V",6,"V",4,"V",5,"V",4,"V",3,"V",2,"V",1,"V",1,"V",1,"V",11,"V",5,"V",4,"V",4,"V",NA,"N"
8,"Barcelona",19,"Barcelona",4,7,2020,11,2,8,"V",6,"V",11,"V",4,"V",6,"V",7,"V",22,"V",52,"V",65,"V",43,"V",21,"V",19,"V",12,"V",9,"V",9,"V",5,"V",6,"V",3,"V",2,"V",2,"V",2,"V",6,"V",14,"V",NA,"N"
8,"Barcelona",19,"Barcelona",4,7,2020,11,3,13,"V",8,"V",1,"V",1,"V",1,"V",1,"V",5,"V",11,"V",22,"V",31,"V",5,"V",3,"V",5,"V",3,"V",3,"V",2,"V",4,"V",3,"V",2,"V",1,"V",1,"V",1,"V",1,"V",NA,"N"
8,"Barcelona",19,"Barcelona",4,7,2020,11,4,2,"V",1,"V",1,"V",1,"V",1,"V",1,"V",4,"V",3,"V",9,"V",11,"V",10,"V",21,"V",31,"V",29,"V",16,"V",12,"V",13,"V",19,"V",60,"V",45,"V",34,"V",16,"V",4,"V",NA,"N"
8,"Barcelona",19,"Barcelona",4,7,2020,11,5,5,"V",3,"V",2,"V",1,"V",2,"V",3,"V",5,"V",22,"V",51,"V",38,"V",5,"V",5,"V",4,"V",NA,"N",NA,"N",NA,"N",3,"V",2,"V",5,"V",2,"V",1,"V",1,"V",3,"V",NA,"N"
8,"Barcelona",19,"Barcelona",4,7,2020,11,6,1,"V",1,"V",2,"V",1,"V",1,"V",1,"V",1,"V",1,"V",3,"V",2,"V",NA,"N",NA,"N",2,"V",2,"V",2,"V",1,"V",2,"V",2,"V",2,"V",1,"V",1,"V",1,"V",1,"V",NA,"N"
8,"Barcelona",19,"Barcelona",4,7,2020,11,7,2,"V",1,"V",1,"V",1,"V",1,"V",4,"V",1,"V",1,"V",1,"V",1,"V",2,"V",2,"V",2,"V",2,"V",4,"V",2,"V",2,"V",1,"V",6,"V",16,"V",27,"V",66,"V",76,"V",NA,"N"
8,"Barcelona",19,"Barcelona",4,7,2020,11,8,21,"V",10,"V",3,"V",1,"V",1,"V",2,"V",4,"V",3,"V",4,"V",6,"V",6,"V",7,"V",7,"V",8,"V",5,"V",1,"V",1,"V",1,"V",1,"V",1,"V",6,"V",5,"V",1,"V",1,"V"
8,"Barcelona",19,"Barcelona",4,7,2020,11,9,3,"V",4,"V",1,"V",1,"V",1,"V",9,"V",20,"V",47,"V",71,"V",85,"V",74,"V",78,"V",54,"V",22,"V",13,"V",6,"V",8,"V",20,"V",19,"V",38,"V",77,"V",55,"V",58,"V",NA,"N"
8,"Barcelona",19,"Barcelona",4,7,2020,11,10,19,"V",8,"V",2,"V",2,"V",2,"V",6,"V",15,"V",47,"V",72,"V",69,"V",73,"V",43,"V",13,"V",5,"V",4,"V",4,"V",1,"V",2,"V",6,"V",14,"V",58,"V",78,"V",39,"V",NA,"N"
