"CODI_PROVINCIA","PROVINCIA","CODI_MUNICIPI","MUNICIPI","ESTACIO","CODI_CONTAMINANT","ANY","MES","DIA","H01","V01","H02","V02","H03","V03","H04","V04","H05","V05","H06","V06","H07","V07","H08","V08","H09","V09","H10","V10","H11","V11","H12","V12","H13","V13","H14","V14","H15","V15","H16","V16","H17","V17","H18","V18","H19","V19","H20","V20","H21","V21","H22","V22","H23","V23","H24","V24"
8,"Barcelona",19,"Barcelona",4,7,2021,1,1,2,"V",3,"V",3,"V",1,"V",1,"V",2,"V",1,"V",2,"V",2,"V",5,"V",5,"V",2,"V",4,"V",7,"V",6,"V",5,"V",4,"V",2,"V",2,"V",2,"V",2,"V",3,"V",2,"V",NA,"N"
8,"Barcelona",19,"Barcelona",4,7,2021,1,2,1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",2,"V",5,"V",5,"V",6,"V",5,"V",4,"V",2,"V",2,"V",3,"V",5,"V",4,"V",5,"V",5,"V",5,"V",NA,"N"
8,"Barcelona",19,"Barcelona",4,7,2021,1,3,2,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",3,"V",2,"V",2,"V",3,"V",2,"V",4,"V",4,"V",2,"V",2,"V",6,"V",24,"V",23,"V",23,"V",8,"V",NA,"N"
8,"Barcelona",19,"Barcelona",4,7,2021,1,4,4,"V",2,"V",2,"V",3,"V",2,"V",5,"V",10,"V",30,"V",50,"V",5,"V",NA,"N",NA,"N",10,"V",5,"V",6,"V",5,"V",3,"V",4,"V",3,"V",3,"V",7,"V",7,"V",1,"V",NA,"N"
8,"Barcelona",19,"Barcelona",4,7,2021,1,5,2,"V",8,"V",11,"V",2,"V",2,"V",8,"V",19,"V",32,"V",46,"V",53,"V",45,"V",27,"V",8,"V",5,"V",5,"V",3,"V",3,"V",7,"V",9,"V",10,"V",5,"V",4,"V",4,"V",6,"V"
8,"Barcelona",19,"Barcelona",4,7,2021,1,6,3,"V",2,"V",1,"V",1,"V",1,"V",2,"V",2,"V",3,"V",3,"V",8,"V",8,"V",10,"V",11,"V",9,"V",4,"V",2,"V",2,"V",3,"V",12,"V",29,"V",19,"V",6,"V",4,"V",NA,"N"
8,"Barcelona",19,"Barcelona",4,7,2021,1,7,1,"V",2,"V",2,"V",2,"V",1,"V",3,"V",5,"V",12,"V",26,"V",45,"V",42,"V",42,"V",44,"V",16,"V",5,"V",5,"V",7,"V",4,"V",19,"V",29,"V",21,"V",9,"V",6,"V",1,"V"
8,"Barcelona",19,"Barcelona",4,7,2021,1,8,2,"V",3,"V",2,"V",1,"V",1,"V",6,"V",5,"V",16,"V",22,"V",25,"V",27,"V",29,"V",27,"V",27,"V",15,"V",14,"V",14,"V",26,"V",35,"V",30,"V",25,"V",12,"V",3,"V",NA,"N"
8,"Barcelona",19,"Barcelona",4,7,2021,1,9,1,"V",1,"V",1,"V",1,"V",1,"V",2,"V",1,"V",1,"V",1,"V",2,"V",2,"V",3,"V",2,"V",2,"V",2,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V"
8,"Barcelona",19,"Barcelona",4,7,2021,1,10,2,"V",1,"V",1,"V",1,"V",1,"V",2,"V",1,"V",1,"V",1,"V",2,"V",1,"V",2,"V",2,"V",4,"V",4,"V",4,"V",2,"V",2,"V",4,"V",4,"V",3,"V",6,"V",2,"V",NA,"N"
8,"Barcelona",19,"Barcelona",4,7,2021,1,11,2,"V",1,"V",1,"V",1,"V",1,"V",2,"V",3,"V",5,"V",10,"V",14,"V",16,"V",15,"V",11,"V",10,"V",7,"V",7,"V",7,"V",5,"V",6,"V",4,"V",3,"V",2,"V",1,"V",NA,"N"
8,"Barcelona",19,"Barcelona",4,7,2021,1,12,5,"V",1,"V",1,"V",1,"V",1,"V",1,"V",3,"V",4,"V",9,"V",8,"V",7,"V",9,"V",7,"V",7,"V",6,"V",5,"V",5,"V",4,"V",4,"V",3,"V",2,"V",2,"V",2,"V",1,"V"
8,"Barcelona",19,"Barcelona",4,7,2021,1,13,1,"V",2,"V",1,"V",1,"V",1,"V",3,"V",3,"V",5,"V",8,"V",8,"V",9,"V",8,"V",9,"V",8,"V",8,"V",7,"V",9,"V",6,"V",3,"V",3,"V",2,"V",2,"V",2,"V",NA,"N"
8,"Barcelona",19,"Barcelona",4,7,2021,1,14,3,"V",1,"V",1,"V",1,"V",1,"V",1,"V",2,"V",5,"V",14,"V",41,"V",NA,"N",NA,"N",9,"V",8,"V",6,"V",7,"V",6,"V",5,"V",7,"V",9,"V",5,"V",3,"V",2,"V",2,"V"
8,"Barcelona",19,"Barcelona",4,7,2021,1,15,2,"V",1,"V",1,"V",1,"V",2,"V",6,"V",14,"V",45,"V",62,"V",108,"V",137,"V",98,"V",15,"V",14,"V",16,"V",16,"V",6,"V",5,"V",7,"V",61,"V",125,"V",108,"V",60,"V",NA,"N"
8,"Barcelona",19,"Barcelona",4,7,2021,1,16,45,"V",19,"V",23,"V",11,"V",5,"V",3,"V",3,"V",12,"V",17,"V",20,"V",19,"V",5,"V",4,"V",5,"V",3,"V",3,"V",4,"V",4,"V",2,"V",4,"V",3,"V",2,"V",3,"V",NA,"N"
8,"Barcelona",19,"Barcelona",4,7,2021,1,17,3,"V",1,"V",1,"V",1,"V",1,"V",3,"V",4,"V",2,"V",2,"V",7,"V",8,"V",7,"V",4,"V",5,"V",5,"V",2,"V",1,"V",1,"V",5,"V",13,"V",15,"V",30,"V",40,"V",NA,"N"
8,"Barcelona",19,"Barcelona",4,7,2021,1,18,17,"V",4,"V",3,"V",3,"V",1,"V",10,"V",23,"V",62,"V",107,"V",126,"V",121,"V",83,"V",35,"V",7,"V",11,"V",9,"V",8,"V",20,"V",36,"V",82,"V",102,"V",57,"V",59,"V",NA,"N"
8,"Barcelona",19,"Barcelona",4,7,2021,1,19,42,"V",19,"V",14,"V",10,"V",5,"V",6,"V",29,"V",56,"V",96,"V",109,"V",95,"V",66,"V",17,"V",15,"V",7,"V",7,"V",7,"V",6,"V",4,"V",5,"V",2,"V",2,"V",4,"V",7,"V"
8,"Barcelona",19,"Barcelona",4,7,2021,1,20,6,"V",2,"V",1,"V",2,"V",6,"V",9,"V",21,"V",65,"V",104,"V",108,"V",71,"V",20,"V",14,"V",9,"V",9,"V",7,"V",11,"V",16,"V",11,"V",6,"V",5,"V",3,"V",2,"V",1,"V"
8,"Barcelona",19,"Barcelona",4,7,2021,1,21,3,"V",7,"V",4,"V",11,"V",5,"V",12,"V",36,"V",101,"V",35,"V",67,"V",60,"V",29,"V",28,"V",17,"V",8,"V",12,"V",19,"V",24,"V",41,"V",82,"V",63,"V",117,"V",93,"V",35,"V"
8,"Barcelona",19,"Barcelona",4,7,2021,1,22,28,"V",25,"V",11,"V",15,"V",2,"V",2,"V",6,"V",7,"V",12,"V",8,"V",3,"V",9,"V",10,"V",6,"V",2,"V",2,"V",3,"V",3,"V",2,"V",2,"V",2,"V",2,"V",1,"V",NA,"N"
8,"Barcelona",19,"Barcelona",4,7,2021,1,23,2,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",5,"V",2,"V",2,"V",3,"V",4,"V",3,"V",3,"V",3,"V",2,"V",2,"V",2,"V",2,"V",2,"V",1,"V",1,"V",1,"V",NA,"N"
8,"Barcelona",19,"Barcelona",4,7,2021,1,24,1,"V",1,"V",1,"V",1,"V",1,"V",2,"V",1,"V",1,"V",1,"V",1,"V",1,"V",2,"V",2,"V",3,"V",3,"V",2,"V",1,"V",1,"V",1,"V",2,"V",2,"V",4,"V",2,"V",NA,"N"
8,"Barcelona",19,"Barcelona",4,7,2021,1,25,1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",2,"V",3,"V",4,"V",4,"V",6,"V",14,"V",14,"V",12,"V",4,"V",4,"V",2,"V",2,"V",2,"V",2,"V",1,"V",1,"V",1,"V",NA,"N"
8,"Barcelona",19,"Barcelona",4,7,2021,1,26,2,"V",2,"V",1,"V",1,"V",1,"V",2,"V",2,"V",3,"V",6,"V",4,"V",5,"V",3,"V",4,"V",3,"V",4,"V",6,"V",8,"V",9,"V",9,"V",6,"V",3,"V",1,"V",12,"V",NA,"N"
8,"Barcelona",19,"Barcelona",4,7,2021,1,27,20,"V",6,"V",1,"V",1,"V",2,"V",5,"V",16,"V",25,"V",58,"V",89,"V",92,"V",67,"V",20,"V",10,"V",4,"V",3,"V",4,"V",3,"V",9,"V",15,"V",47,"V",111,"V",139,"V",87,"V"
8,"Barcelona",19,"Barcelona",4,7,2021,1,28,69,"V",61,"V",49,"V",38,"V",29,"V",50,"V",65,"V",86,"V",154,"V",242,"V",123,"V",48,"V",38,"V",15,"V",10,"V",11,"V",8,"V",12,"V",14,"V",21,"V",11,"V",23,"V",39,"V",60,"V"
8,"Barcelona",19,"Barcelona",4,7,2021,1,29,89,"V",110,"V",59,"V",26,"V",29,"V",61,"V",27,"V",12,"V",17,"V",14,"V",15,"V",19,"V",25,"V",15,"V",6,"V",6,"V",11,"V",5,"V",2,"V",3,"V",4,"V",3,"V",2,"V",NA,"N"
8,"Barcelona",19,"Barcelona",4,7,2021,1,30,20,"V",39,"V",26,"V",23,"V",11,"V",18,"V",13,"V",33,"V",53,"V",10,"V",4,"V",4,"V",4,"V",3,"V",2,"V",2,"V",2,"V",3,"V",2,"V",1,"V",1,"V",1,"V",1,"V",NA,"N"
8,"Barcelona",19,"Barcelona",4,7,2021,1,31,1,"V",1,"V",1,"V",1,"V",1,"V",3,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",2,"V",2,"V",2,"V",2,"V",1,"V",1,"V",1,"V",2,"V",1,"V",1,"V",1,"V",NA,"N"
8,"Barcelona",19,"Barcelona",4,8,2021,1,1,37,"V",33,"V",24,"V",23,"V",35,"V",35,"V",16,"V",24,"V",32,"V",28,"V",25,"V",21,"V",30,"V",37,"V",37,"V",29,"V",28,"V",16,"V",16,"V",21,"V",18,"V",25,"V",13,"V",NA,"N"
8,"Barcelona",19,"Barcelona",4,8,2021,1,2,9,"V",12,"V",9,"V",8,"V",6,"V",7,"V",8,"V",9,"V",10,"V",10,"V",14,"V",14,"V",17,"V",16,"V",15,"V",16,"V",18,"V",22,"V",27,"V",41,"V",44,"V",41,"V",43,"V",NA,"N"
8,"Barcelona",19,"Barcelona",4,8,2021,1,3,36,"V",12,"V",5,"V",4,"V",4,"V",7,"V",6,"V",7,"V",9,"V",14,"V",13,"V",10,"V",11,"V",12,"V",20,"V",24,"V",25,"V",32,"V",55,"V",75,"V",64,"V",61,"V",54,"V",NA,"N"
8,"Barcelona",19,"Barcelona",4,8,2021,1,4,45,"V",42,"V",38,"V",39,"V",33,"V",35,"V",40,"V",42,"V",49,"V",29,"V",NA,"N",NA,"N",23,"V",17,"V",20,"V",19,"V",19,"V",29,"V",39,"V",34,"V",47,"V",49,"V",25,"V",NA,"N"
8,"Barcelona",19,"Barcelona",4,8,2021,1,5,40,"V",50,"V",48,"V",31,"V",28,"V",39,"V",44,"V",47,"V",51,"V",51,"V",45,"V",38,"V",21,"V",18,"V",17,"V",18,"V",25,"V",37,"V",53,"V",61,"V",44,"V",43,"V",35,"V",46,"V"
8,"Barcelona",19,"Barcelona",4,8,2021,1,6,38,"V",35,"V",27,"V",22,"V",20,"V",23,"V",25,"V",25,"V",24,"V",26,"V",23,"V",24,"V",25,"V",21,"V",17,"V",14,"V",15,"V",22,"V",60,"V",72,"V",61,"V",50,"V",44,"V",NA,"N"
8,"Barcelona",19,"Barcelona",4,8,2021,1,7,31,"V",33,"V",33,"V",31,"V",27,"V",28,"V",31,"V",40,"V",44,"V",47,"V",47,"V",47,"V",51,"V",33,"V",23,"V",21,"V",27,"V",30,"V",53,"V",60,"V",57,"V",52,"V",37,"V",23,"V"
8,"Barcelona",19,"Barcelona",4,8,2021,1,8,23,"V",33,"V",25,"V",16,"V",17,"V",23,"V",26,"V",34,"V",36,"V",30,"V",31,"V",36,"V",41,"V",38,"V",33,"V",39,"V",51,"V",64,"V",67,"V",64,"V",58,"V",47,"V",29,"V",NA,"N"
8,"Barcelona",19,"Barcelona",4,8,2021,1,9,11,"V",12,"V",6,"V",6,"V",11,"V",13,"V",13,"V",10,"V",11,"V",15,"V",15,"V",18,"V",14,"V",13,"V",10,"V",10,"V",12,"V",14,"V",9,"V",10,"V",10,"V",11,"V",9,"V",8,"V"
8,"Barcelona",19,"Barcelona",4,8,2021,1,10,9,"V",6,"V",5,"V",5,"V",5,"V",7,"V",6,"V",8,"V",11,"V",13,"V",11,"V",13,"V",19,"V",27,"V",31,"V",34,"V",17,"V",32,"V",38,"V",32,"V",27,"V",39,"V",27,"V",NA,"N"
8,"Barcelona",19,"Barcelona",4,8,2021,1,11,14,"V",11,"V",11,"V",10,"V",6,"V",10,"V",14,"V",28,"V",34,"V",31,"V",28,"V",25,"V",23,"V",21,"V",19,"V",20,"V",23,"V",30,"V",31,"V",26,"V",24,"V",20,"V",18,"V",NA,"N"
8,"Barcelona",19,"Barcelona",4,8,2021,1,12,12,"V",10,"V",9,"V",8,"V",8,"V",10,"V",15,"V",26,"V",38,"V",34,"V",24,"V",25,"V",20,"V",19,"V",21,"V",22,"V",28,"V",29,"V",31,"V",32,"V",27,"V",31,"V",28,"V",22,"V"
8,"Barcelona",19,"Barcelona",4,8,2021,1,13,17,"V",13,"V",14,"V",19,"V",9,"V",11,"V",15,"V",29,"V",36,"V",25,"V",24,"V",21,"V",21,"V",22,"V",21,"V",26,"V",37,"V",35,"V",25,"V",22,"V",21,"V",22,"V",16,"V",NA,"N"
8,"Barcelona",19,"Barcelona",4,8,2021,1,14,9,"V",7,"V",7,"V",9,"V",7,"V",9,"V",14,"V",22,"V",32,"V",36,"V",NA,"N",NA,"N",21,"V",20,"V",19,"V",22,"V",24,"V",31,"V",38,"V",56,"V",44,"V",34,"V",32,"V",33,"V"
8,"Barcelona",19,"Barcelona",4,8,2021,1,15,17,"V",13,"V",11,"V",15,"V",24,"V",38,"V",42,"V",52,"V",57,"V",61,"V",66,"V",63,"V",31,"V",34,"V",43,"V",43,"V",28,"V",31,"V",45,"V",69,"V",80,"V",77,"V",64,"V",NA,"N"
8,"Barcelona",19,"Barcelona",4,8,2021,1,16,51,"V",48,"V",44,"V",39,"V",37,"V",31,"V",31,"V",38,"V",41,"V",40,"V",38,"V",17,"V",16,"V",16,"V",15,"V",16,"V",24,"V",30,"V",29,"V",27,"V",26,"V",29,"V",48,"V",NA,"N"
8,"Barcelona",19,"Barcelona",4,8,2021,1,17,20,"V",19,"V",17,"V",11,"V",14,"V",19,"V",26,"V",23,"V",26,"V",30,"V",25,"V",26,"V",15,"V",21,"V",23,"V",16,"V",15,"V",24,"V",54,"V",67,"V",74,"V",75,"V",71,"V",NA,"N"
8,"Barcelona",19,"Barcelona",4,8,2021,1,18,49,"V",43,"V",38,"V",36,"V",30,"V",39,"V",42,"V",50,"V",56,"V",53,"V",57,"V",54,"V",46,"V",28,"V",41,"V",42,"V",44,"V",65,"V",76,"V",80,"V",82,"V",70,"V",65,"V",NA,"N"
8,"Barcelona",19,"Barcelona",4,8,2021,1,19,51,"V",45,"V",40,"V",39,"V",38,"V",38,"V",50,"V",49,"V",54,"V",56,"V",57,"V",56,"V",41,"V",43,"V",26,"V",30,"V",38,"V",42,"V",46,"V",59,"V",53,"V",45,"V",61,"V",68,"V"
8,"Barcelona",19,"Barcelona",4,8,2021,1,20,53,"V",37,"V",40,"V",46,"V",52,"V",52,"V",53,"V",58,"V",63,"V",67,"V",69,"V",63,"V",60,"V",44,"V",37,"V",35,"V",48,"V",50,"V",44,"V",43,"V",45,"V",35,"V",29,"V",27,"V"
8,"Barcelona",19,"Barcelona",4,8,2021,1,21,45,"V",49,"V",42,"V",44,"V",43,"V",45,"V",51,"V",59,"V",68,"V",71,"V",68,"V",48,"V",51,"V",41,"V",27,"V",44,"V",54,"V",58,"V",73,"V",77,"V",68,"V",71,"V",71,"V",66,"V"
8,"Barcelona",19,"Barcelona",4,8,2021,1,22,63,"V",58,"V",53,"V",50,"V",16,"V",12,"V",17,"V",31,"V",42,"V",25,"V",21,"V",35,"V",27,"V",20,"V",11,"V",13,"V",16,"V",18,"V",16,"V",15,"V",14,"V",12,"V",10,"V",NA,"N"
8,"Barcelona",19,"Barcelona",4,8,2021,1,23,7,"V",9,"V",9,"V",6,"V",6,"V",6,"V",12,"V",19,"V",21,"V",18,"V",18,"V",14,"V",10,"V",12,"V",10,"V",10,"V",11,"V",13,"V",16,"V",18,"V",15,"V",18,"V",21,"V",NA,"N"
8,"Barcelona",19,"Barcelona",4,8,2021,1,24,21,"V",21,"V",20,"V",9,"V",5,"V",4,"V",3,"V",4,"V",4,"V",8,"V",5,"V",7,"V",8,"V",11,"V",13,"V",9,"V",10,"V",13,"V",16,"V",14,"V",29,"V",25,"V",21,"V",NA,"N"
8,"Barcelona",19,"Barcelona",4,8,2021,1,25,15,"V",11,"V",11,"V",6,"V",4,"V",6,"V",12,"V",23,"V",35,"V",32,"V",31,"V",43,"V",47,"V",46,"V",20,"V",28,"V",12,"V",12,"V",12,"V",13,"V",11,"V",10,"V",11,"V",NA,"N"
8,"Barcelona",19,"Barcelona",4,8,2021,1,26,25,"V",26,"V",15,"V",12,"V",14,"V",17,"V",17,"V",35,"V",33,"V",24,"V",19,"V",11,"V",11,"V",10,"V",14,"V",23,"V",34,"V",40,"V",58,"V",60,"V",45,"V",38,"V",61,"V",NA,"N"
8,"Barcelona",19,"Barcelona",4,8,2021,1,27,56,"V",42,"V",30,"V",34,"V",33,"V",27,"V",46,"V",49,"V",52,"V",56,"V",55,"V",56,"V",33,"V",25,"V",16,"V",16,"V",22,"V",26,"V",55,"V",68,"V",77,"V",84,"V",83,"V",72,"V"
8,"Barcelona",19,"Barcelona",4,8,2021,1,28,65,"V",59,"V",54,"V",49,"V",40,"V",37,"V",41,"V",46,"V",54,"V",72,"V",71,"V",54,"V",50,"V",34,"V",31,"V",35,"V",32,"V",43,"V",51,"V",57,"V",49,"V",51,"V",52,"V",52,"V"
8,"Barcelona",19,"Barcelona",4,8,2021,1,29,51,"V",49,"V",47,"V",48,"V",44,"V",43,"V",40,"V",31,"V",34,"V",27,"V",24,"V",24,"V",30,"V",27,"V",17,"V",18,"V",28,"V",27,"V",21,"V",26,"V",34,"V",28,"V",28,"V",NA,"N"
8,"Barcelona",19,"Barcelona",4,8,2021,1,30,38,"V",46,"V",44,"V",40,"V",37,"V",34,"V",39,"V",41,"V",45,"V",27,"V",10,"V",11,"V",11,"V",10,"V",9,"V",8,"V",8,"V",12,"V",14,"V",11,"V",21,"V",19,"V",17,"V",NA,"N"
