"CODI_PROVINCIA","PROVINCIA","CODI_MUNICIPI","MUNICIPI","ESTACIO","CODI_CONTAMINANT","ANY","MES","DIA","H01","V01","H02","V02","H03","V03","H04","V04","H05","V05","H06","V06","H07","V07","H08","V08","H09","V09","H10","V10","H11","V11","H12","V12","H13","V13","H14","V14","H15","V15","H16","V16","H17","V17","H18","V18","H19","V19","H20","V20","H21","V21","H22","V22","H23","V23","H24","V24"
8,"Barcelona",19,"Barcelona",4,7,2021,3,1,1,"V",1,"V",1,"V",1,"V",1,"V",2,"V",4,"V",8,"V",26,"V",NA,"N",NA,"N",3,"V",4,"V",2,"V",2,"V",2,"V",2,"V",1,"V",2,"V",1,"V",1,"V",1,"V",1,"V",1,"V"
8,"Barcelona",19,"Barcelona",4,7,2021,3,2,1,"V",2,"V",1,"V",1,"V",1,"V",2,"V",7,"V",18,"V",19,"V",5,"V",3,"V",3,"V",4,"V",3,"V",3,"V",2,"V",3,"V",2,"V",3,"V",1,"V",1,"V",1,"V",1,"V",NA,"N"
8,"Barcelona",19,"Barcelona",4,7,2021,3,3,2,"V",3,"V",2,"V",2,"V",2,"V",6,"V",16,"V",40,"V",44,"V",53,"V",46,"V",26,"V",4,"V",3,"V",2,"V",2,"V",2,"V",2,"V",1,"V",2,"V",2,"V",2,"V",1,"V",NA,"N"
8,"Barcelona",19,"Barcelona",4,7,2021,3,4,1,"V",1,"V",1,"V",1,"V",2,"V",9,"V",19,"V",36,"V",50,"V",38,"V",21,"V",13,"V",5,"V",5,"V",3,"V",2,"V",3,"V",3,"V",2,"V",2,"V",2,"V",1,"V",1,"V",NA,"N"
8,"Barcelona",19,"Barcelona",4,7,2021,3,5,1,"V",1,"V",1,"V",1,"V",2,"V",3,"V",14,"V",49,"V",77,"V",90,"V",36,"V",35,"V",12,"V",7,"V",4,"V",3,"V",3,"V",2,"V",1,"V",2,"V",2,"V",3,"V",3,"V",NA,"N"
8,"Barcelona",19,"Barcelona",4,7,2021,3,6,9,"V",3,"V",2,"V",2,"V",3,"V",10,"V",14,"V",5,"V",12,"V",15,"V",2,"V",3,"V",2,"V",2,"V",2,"V",1,"V",1,"V",2,"V",1,"V",2,"V",1,"V",2,"V",1,"V",NA,"N"
8,"Barcelona",19,"Barcelona",4,7,2021,3,7,4,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",3,"V",4,"V",3,"V",5,"V",3,"V",2,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",2,"V",1,"V",NA,"N"
8,"Barcelona",19,"Barcelona",4,7,2021,3,8,1,"V",1,"V",1,"V",1,"V",1,"V",3,"V",2,"V",4,"V",14,"V",8,"V",7,"V",14,"V",8,"V",5,"V",3,"V",3,"V",5,"V",3,"V",5,"V",6,"V",18,"V",7,"V",2,"V",NA,"N"
8,"Barcelona",19,"Barcelona",4,7,2021,3,9,5,"V",1,"V",1,"V",1,"V",1,"V",2,"V",2,"V",5,"V",8,"V",10,"V",10,"V",9,"V",15,"V",14,"V",5,"V",5,"V",6,"V",4,"V",3,"V",1,"V",2,"V",2,"V",3,"V",NA,"N"
8,"Barcelona",19,"Barcelona",4,7,2021,3,10,3,"V",1,"V",1,"V",1,"V",1,"V",2,"V",2,"V",6,"V",9,"V",11,"V",9,"V",9,"V",11,"V",8,"V",5,"V",6,"V",5,"V",6,"V",6,"V",7,"V",5,"V",4,"V",3,"V",NA,"N"
8,"Barcelona",19,"Barcelona",4,7,2021,3,11,2,"V",2,"V",1,"V",2,"V",1,"V",10,"V",8,"V",50,"V",84,"V",76,"V",25,"V",21,"V",16,"V",8,"V",8,"V",7,"V",7,"V",6,"V",6,"V",7,"V",6,"V",2,"V",4,"V",NA,"N"
8,"Barcelona",19,"Barcelona",4,7,2021,3,12,10,"V",14,"V",4,"V",2,"V",2,"V",4,"V",2,"V",4,"V",4,"V",4,"V",4,"V",6,"V",5,"V",5,"V",4,"V",3,"V",4,"V",3,"V",3,"V",2,"V",2,"V",1,"V",2,"V",NA,"N"
8,"Barcelona",19,"Barcelona",4,7,2021,3,13,1,"V",2,"V",2,"V",2,"V",4,"V",6,"V",14,"V",16,"V",25,"V",13,"V",4,"V",7,"V",7,"V",5,"V",4,"V",2,"V",3,"V",3,"V",2,"V",2,"V",4,"V",3,"V",1,"V",NA,"N"
8,"Barcelona",19,"Barcelona",4,7,2021,3,14,3,"V",2,"V",1,"V",1,"V",1,"V",1,"V",1,"V",2,"V",5,"V",5,"V",4,"V",2,"V",3,"V",3,"V",3,"V",1,"V",2,"V",1,"V",1,"V",1,"V",1,"V",2,"V",1,"V",NA,"N"
8,"Barcelona",19,"Barcelona",4,7,2021,3,15,2,"V",1,"V",1,"V",1,"V",1,"V",2,"V",1,"V",5,"V",7,"V",9,"V",9,"V",12,"V",7,"V",5,"V",4,"V",4,"V",6,"V",3,"V",1,"V",2,"V",1,"V",2,"V",1,"V",NA,"N"
8,"Barcelona",19,"Barcelona",4,7,2021,3,16,12,"V",9,"V",4,"V",4,"V",1,"V",4,"V",11,"V",43,"V",61,"V",59,"V",31,"V",8,"V",4,"V",NA,"N",NA,"N",2,"V",3,"V",3,"V",2,"V",3,"V",3,"V",3,"V",2,"V",NA,"N"
8,"Barcelona",19,"Barcelona",4,7,2021,3,17,1,"V",3,"V",3,"V",4,"V",3,"V",10,"V",16,"V",37,"V",46,"V",10,"V",10,"V",16,"V",10,"V",3,"V",3,"V",2,"V",2,"V",3,"V",2,"V",3,"V",3,"V",3,"V",2,"V",NA,"N"
8,"Barcelona",19,"Barcelona",4,7,2021,3,18,3,"V",1,"V",1,"V",1,"V",1,"V",2,"V",5,"V",34,"V",75,"V",15,"V",5,"V",5,"V",3,"V",3,"V",3,"V",3,"V",7,"V",5,"V",3,"V",2,"V",2,"V",1,"V",1,"V",NA,"N"
8,"Barcelona",19,"Barcelona",4,7,2021,3,19,2,"V",1,"V",1,"V",4,"V",1,"V",1,"V",2,"V",5,"V",25,"V",44,"V",35,"V",16,"V",16,"V",7,"V",5,"V",4,"V",3,"V",3,"V",7,"V",12,"V",20,"V",8,"V",3,"V",3,"V"
8,"Barcelona",19,"Barcelona",4,7,2021,3,20,2,"V",3,"V",2,"V",1,"V",1,"V",3,"V",2,"V",2,"V",6,"V",5,"V",5,"V",3,"V",2,"V",1,"V",1,"V",1,"V",2,"V",2,"V",1,"V",3,"V",2,"V",2,"V",2,"V",1,"V"
8,"Barcelona",19,"Barcelona",4,7,2021,3,21,1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",2,"V",2,"V",2,"V",2,"V",4,"V",3,"V",2,"V",2,"V",3,"V",1,"V",1,"V",2,"V",1,"V",2,"V",1,"V",1,"V",NA,"N"
8,"Barcelona",19,"Barcelona",4,7,2021,3,22,2,"V",4,"V",2,"V",1,"V",1,"V",4,"V",11,"V",18,"V",14,"V",10,"V",6,"V",9,"V",8,"V",6,"V",6,"V",4,"V",3,"V",4,"V",2,"V",2,"V",3,"V",2,"V",2,"V",NA,"N"
8,"Barcelona",19,"Barcelona",4,7,2021,3,23,4,"V",5,"V",2,"V",2,"V",3,"V",3,"V",17,"V",46,"V",49,"V",37,"V",10,"V",5,"V",5,"V",3,"V",3,"V",4,"V",3,"V",2,"V",2,"V",2,"V",1,"V",1,"V",2,"V",NA,"N"
8,"Barcelona",19,"Barcelona",4,7,2021,3,24,1,"V",1,"V",1,"V",1,"V",1,"V",5,"V",13,"V",57,"V",64,"V",46,"V",18,"V",8,"V",11,"V",5,"V",6,"V",4,"V",6,"V",6,"V",5,"V",3,"V",3,"V",2,"V",3,"V",NA,"N"
8,"Barcelona",19,"Barcelona",4,7,2021,3,25,10,"V",2,"V",4,"V",2,"V",1,"V",8,"V",23,"V",52,"V",64,"V",29,"V",16,"V",8,"V",4,"V",2,"V",2,"V",2,"V",3,"V",4,"V",2,"V",2,"V",2,"V",2,"V",2,"V",NA,"N"
8,"Barcelona",19,"Barcelona",4,7,2021,3,26,3,"V",2,"V",1,"V",1,"V",1,"V",2,"V",4,"V",16,"V",48,"V",37,"V",14,"V",6,"V",5,"V",3,"V",3,"V",3,"V",2,"V",2,"V",2,"V",5,"V",2,"V",1,"V",1,"V",NA,"N"
8,"Barcelona",19,"Barcelona",4,7,2021,3,27,1,"V",4,"V",1,"V",1,"V",1,"V",1,"V",1,"V",4,"V",2,"V",3,"V",2,"V",3,"V",2,"V",3,"V",1,"V",2,"V",2,"V",1,"V",1,"V",1,"V",1,"V",2,"V",1,"V",NA,"N"
8,"Barcelona",19,"Barcelona",4,7,2021,3,28,4,"V",NA,"N",1,"V",1,"V",1,"V",3,"V",1,"V",1,"V",6,"V",9,"V",7,"V",6,"V",2,"V",2,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V"
8,"Barcelona",19,"Barcelona",4,7,2021,3,29,1,"V",2,"V",1,"V",1,"V",1,"V",3,"V",6,"V",27,"V",59,"V",67,"V",44,"V",7,"V",3,"V",2,"V",2,"V",1,"V",2,"V",1,"V",2,"V",1,"V",1,"V",3,"V",1,"V",NA,"N"
8,"Barcelona",19,"Barcelona",4,7,2021,3,30,3,"V",2,"V",2,"V",2,"V",1,"V",3,"V",4,"V",24,"V",55,"V",59,"V",21,"V",4,"V",3,"V",2,"V",1,"V",1,"V",2,"V",2,"V",1,"V",2,"V",2,"V",1,"V",1,"V",NA,"N"
8,"Barcelona",19,"Barcelona",4,7,2021,3,31,1,"V",1,"V",5,"V",3,"V",2,"V",4,"V",9,"V",34,"V",55,"V",73,"V",43,"V",8,"V",4,"V",3,"V",3,"V",3,"V",3,"V",2,"V",1,"V",1,"V",2,"V",1,"V",2,"V",NA,"N"
8,"Barcelona",19,"Barcelona",4,8,2021,3,1,13,"V",15,"V",10,"V",7,"V",11,"V",13,"V",35,"V",54,"V",66,"V",NA,"N",NA,"N",11,"V",13,"V",11,"V",11,"V",11,"V",11,"V",11,"V",16,"V",14,"V",13,"V",26,"V",16,"V",14,"V"
8,"Barcelona",19,"Barcelona",4,8,2021,3,2,9,"V",9,"V",9,"V",12,"V",5,"V",20,"V",52,"V",77,"V",57,"V",26,"V",18,"V",21,"V",18,"V",15,"V",13,"V",13,"V",18,"V",16,"V",16,"V",11,"V",11,"V",15,"V",13,"V",NA,"N"
8,"Barcelona",19,"Barcelona",4,8,2021,3,3,40,"V",46,"V",39,"V",38,"V",38,"V",44,"V",52,"V",56,"V",61,"V",56,"V",64,"V",54,"V",15,"V",13,"V",11,"V",10,"V",13,"V",13,"V",14,"V",18,"V",15,"V",14,"V",15,"V",NA,"N"
8,"Barcelona",19,"Barcelona",4,8,2021,3,4,11,"V",10,"V",22,"V",34,"V",38,"V",46,"V",49,"V",51,"V",55,"V",61,"V",63,"V",45,"V",26,"V",26,"V",15,"V",15,"V",20,"V",22,"V",25,"V",27,"V",37,"V",32,"V",32,"V",NA,"N"
8,"Barcelona",19,"Barcelona",4,8,2021,3,5,19,"V",33,"V",36,"V",36,"V",30,"V",35,"V",48,"V",50,"V",58,"V",65,"V",58,"V",66,"V",42,"V",33,"V",23,"V",18,"V",24,"V",23,"V",24,"V",45,"V",62,"V",45,"V",54,"V",NA,"N"
8,"Barcelona",19,"Barcelona",4,8,2021,3,6,68,"V",52,"V",43,"V",43,"V",45,"V",45,"V",43,"V",30,"V",41,"V",36,"V",9,"V",10,"V",9,"V",9,"V",7,"V",6,"V",6,"V",8,"V",9,"V",14,"V",10,"V",11,"V",16,"V",NA,"N"
8,"Barcelona",19,"Barcelona",4,8,2021,3,7,21,"V",32,"V",30,"V",23,"V",26,"V",24,"V",28,"V",32,"V",29,"V",26,"V",20,"V",16,"V",10,"V",8,"V",6,"V",5,"V",7,"V",7,"V",10,"V",10,"V",10,"V",10,"V",10,"V",NA,"N"
8,"Barcelona",19,"Barcelona",4,8,2021,3,8,12,"V",23,"V",20,"V",18,"V",20,"V",29,"V",38,"V",38,"V",56,"V",28,"V",22,"V",38,"V",26,"V",20,"V",16,"V",16,"V",20,"V",16,"V",31,"V",52,"V",63,"V",48,"V",29,"V",NA,"N"
8,"Barcelona",19,"Barcelona",4,8,2021,3,9,16,"V",13,"V",21,"V",19,"V",7,"V",9,"V",14,"V",24,"V",28,"V",24,"V",20,"V",20,"V",26,"V",27,"V",17,"V",20,"V",27,"V",26,"V",24,"V",23,"V",23,"V",28,"V",53,"V",NA,"N"
