"CODI_PROVINCIA","PROVINCIA","CODI_MUNICIPI","MUNICIPI","ESTACIO","CODI_CONTAMINANT","ANY","MES","DIA","H01","V01","H02","V02","H03","V03","H04","V04","H05","V05","H06","V06","H07","V07","H08","V08","H09","V09","H10","V10","H11","V11","H12","V12","H13","V13","H14","V14","H15","V15","H16","V16","H17","V17","H18","V18","H19","V19","H20","V20","H21","V21","H22","V22","H23","V23","H24","V24"
8,"Barcelona",19,"Barcelona",4,7,2021,6,1,1,"V",1,"V",1,"V",1,"V",1,"V",2,"V",8,"V",18,"V",23,"V",4,"V",NA,"N",NA,"N",3,"V",4,"V",3,"V",2,"V",2,"V",2,"V",1,"V",1,"V",2,"V",1,"V",1,"V",1,"V"
8,"Barcelona",19,"Barcelona",4,7,2021,6,2,2,"V",1,"V",2,"V",2,"V",1,"V",4,"V",8,"V",18,"V",34,"V",18,"V",5,"V",4,"V",3,"V",2,"V",3,"V",3,"V",3,"V",2,"V",1,"V",2,"V",2,"V",2,"V",1,"V",NA,"N"
8,"Barcelona",19,"Barcelona",4,7,2021,6,3,3,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",6,"V",9,"V",2,"V",2,"V",2,"V",3,"V",2,"V",2,"V",NA,"N",2,"V",3,"V",1,"V",1,"V",1,"V",4,"V",1,"V",NA,"N"
8,"Barcelona",19,"Barcelona",4,7,2021,6,4,1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",2,"V",3,"V",2,"V",3,"V",4,"V",4,"V",4,"V",3,"V",5,"V",2,"V",3,"V",3,"V",2,"V",1,"V",2,"V",2,"V",1,"V",NA,"N"
8,"Barcelona",19,"Barcelona",4,7,2021,6,5,1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",2,"V",4,"V",7,"V",5,"V",5,"V",3,"V",2,"V",2,"V",2,"V",1,"V",1,"V",2,"V",2,"V",1,"V",1,"V",2,"V",4,"V",NA,"N"
8,"Barcelona",19,"Barcelona",4,7,2021,6,6,2,"V",1,"V",1,"V",2,"V",1,"V",1,"V",2,"V",2,"V",1,"V",3,"V",3,"V",4,"V",3,"V",3,"V",3,"V",2,"V",2,"V",3,"V",2,"V",2,"V",2,"V",2,"V",1,"V",1,"V"
8,"Barcelona",19,"Barcelona",4,7,2021,6,7,4,"V",2,"V",3,"V",2,"V",2,"V",2,"V",9,"V",5,"V",8,"V",15,"V",6,"V",4,"V",3,"V",3,"V",2,"V",2,"V",2,"V",3,"V",3,"V",2,"V",1,"V",1,"V",1,"V",NA,"N"
8,"Barcelona",19,"Barcelona",4,7,2021,6,8,1,"V",1,"V",1,"V",1,"V",1,"V",2,"V",11,"V",37,"V",32,"V",19,"V",17,"V",105,"V",179,"V",2,"V",3,"V",3,"V",3,"V",6,"V",5,"V",4,"V",4,"V",2,"V",2,"V",2,"V"
8,"Barcelona",19,"Barcelona",4,7,2021,6,9,1,"V",2,"V",2,"V",2,"V",1,"V",3,"V",20,"V",41,"V",46,"V",28,"V",23,"V",13,"V",7,"V",3,"V",5,"V",3,"V",4,"V",5,"V",2,"V",4,"V",6,"V",4,"V",3,"V",NA,"N"
8,"Barcelona",19,"Barcelona",4,7,2021,6,10,3,"V",3,"V",2,"V",2,"V",1,"V",1,"V",4,"V",20,"V",24,"V",16,"V",19,"V",20,"V",9,"V",4,"V",4,"V",5,"V",6,"V",6,"V",4,"V",3,"V",2,"V",3,"V",3,"V",1,"V"
